"Step","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (Proposed) - In distribution over conf 0.95: ACC","Grouped runs (Proposed) - In distribution over conf 0.95: ACC__MIN","Grouped runs (Proposed) - In distribution over conf 0.95: ACC__MAX","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (MTC) - In distribution over conf 0.95: ACC","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MIN","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MAX","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MIN","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MAX"
"20","0.8759211897850037","0.8677432537078857","0.8826408982276917","0.9458303153514862","0.9377532601356506","0.9544225335121155","0.8627203345298767","0.8437260389328003","0.8804052472114563","0.8220826625823975","0.8159240484237671","0.8303507566452026","0.8949440121650696","0.8837041258811951","0.9067896008491516","0.8047934412956238","0.7678344249725342","0.829217791557312"
"21","0.8756109952926636","0.8669573068618774","0.88372403383255","0.9433049410581589","0.9267016053199768","0.9533528089523315","0.8717832684516906","0.8518192768096924","0.8845560550689697","0.8257524728775024","0.7592592835426331","0.8455008864402771","0.8948046922683716","0.8825663924217224","0.9066609144210815","0.9119192719459533","0.8853772878646851","0.9353166222572327"
"22","0.87552729845047","0.8619648218154907","0.8809900283813477","0.944270446896553","0.9286364912986755","0.9549916386604309","0.8602384567260742","0.8382352590560913","0.881365954875946","0.8087813258171082","0.7645070552825928","0.84935063123703","0.899876618385315","0.8955352902412415","0.906531035900116","0.9008056163787842","0.8699754476547241","0.9270925521850586"
"23","0.8766617894172668","0.8695652484893799","0.8843510150909424","0.9400383979082108","0.9336076974868774","0.9448404312133789","0.8804362297058106","0.8695525527000427","0.8900570273399353","0.8053316354751587","0.7871070504188538","0.8388158082962036","0.897080409526825","0.8883727788925171","0.9046218991279602","0.8945131301879883","0.8795087933540344","0.9199764132499695"
"24","0.8730147838592529","0.8633865714073181","0.8806068301200867","0.9389881938695908","0.935318112373352","0.9414069056510925","0.8837226033210754","0.8565678000450134","0.8991661667823792","0.797711455821991","0.7632958889007568","0.8453333377838135","0.894485604763031","0.8881069421768188","0.898983895778656","0.8955735802650452","0.8567330241203308","0.9164460897445679"
"25","0.8744078874588013","0.8645601272583008","0.8833684921264648","0.9389171153306961","0.9244519472122192","0.9505792856216431","0.8752433061599731","0.8620933294296265","0.8806187510490417","0.7731172442436218","0.7278860807418823","0.8191101551055908","0.8987765550613404","0.8901392221450806","0.9021691679954529","0.8824822902679443","0.8480754494667053","0.91617351770401"
"26","0.873255455493927","0.8662538528442383","0.8816784620285034","0.9449945241212845","0.9344881176948547","0.949644148349762","0.8802920937538147","0.8729957938194275","0.8872411847114563","0.7938870310783386","0.7562833428382874","0.8670694828033447","0.8982395529747009","0.8919080495834351","0.9086146950721741","0.8780724883079529","0.8553158640861511","0.9149913787841797"
"27","0.8733960390090942","0.8619696497917175","0.8808578252792358","0.9396842420101166","0.9362697601318359","0.9476386308670044","0.8843418836593628","0.8726041316986084","0.8923670649528503","0.7645102262496948","0.7424329519271851","0.7823960781097412","0.9002254724502563","0.8941127061843872","0.9048668742179871","0.8848797917366028","0.8653193116188049","0.9029109477996826"
"28","0.8722482323646545","0.8620868921279907","0.880020797252655","0.9427108466625214","0.9334945678710938","0.9484696388244629","0.8843752384185791","0.8751610517501831","0.8952394723892212","0.753676462173462","0.7087999582290649","0.7800948023796082","0.8947885274887085","0.889392077922821","0.9023727774620056","0.8757596015930176","0.8550140261650085","0.8931585550308228"
"29","0.8713423132896423","0.8611868023872375","0.8797807097434998","0.9409296363592148","0.9344537854194641","0.9444348812103271","0.8890382170677185","0.8859871029853821","0.8939853310585022","0.7495441913604737","0.6974790096282959","0.8235930800437927","0.8992418050765991","0.8927732706069946","0.9066948294639587","0.8789698481559753","0.8327699899673462","0.9098799228668213"
"30","0.8724168419837952","0.8621674180030823","0.8824377655982971","0.9418785721063614","0.9361526966094971","0.9463179707527161","0.8858005166053772","0.8805155158042908","0.8967722654342651","0.7601944327354431","0.7155172228813171","0.8180112838745117","0.8936932802200317","0.8843780159950256","0.9012258648872375","0.8781106352806092","0.862144410610199","0.8894058465957642"
"31","0.8720873117446899","0.8620330691337585","0.8799009919166565","0.9456073343753815","0.9372152090072632","0.950984001159668","0.8818586707115174","0.8648192286491394","0.8950494527816772","0.765067458152771","0.7522441744804382","0.778311550617218","0.89751056432724","0.8907528519630432","0.9046184420585632","0.857048511505127","0.8284354209899902","0.8819095492362976"
"32","0.8719497323036194","0.8637133836746216","0.8779348731040955","0.9389226287603378","0.9274061918258667","0.9492462277412415","0.8801847457885742","0.8705344796180725","0.8907285332679749","0.7559594869613647","0.7303030490875244","0.7841140627861023","0.89253089427948","0.8842986822128296","0.9029420018196106","0.8665533304214478","0.8505595326423645","0.8840172290802002"
"33","0.8703146934509277","0.8623470664024353","0.8802192211151123","0.9410841017961502","0.9294137358665466","0.9468638300895691","0.8839633226394653","0.877424955368042","0.8929264545440674","0.726461923122406","0.6986666321754456","0.7628070712089539","0.8926047325134278","0.8873603940010071","0.895830512046814","0.8561954140663147","0.8335224390029907","0.896695613861084"
"34","0.8726743221282959","0.8655857443809509","0.8788905143737793","0.9405091553926468","0.9270698428153992","0.9455870389938354","0.8935534238815308","0.8834855556488037","0.9102903008460999","0.7369817852973938","0.6832298040390015","0.8015267252922058","0.8969457864761352","0.8886128664016724","0.9042982459068298","0.8599727630615235","0.8213399648666382","0.8739752173423767"
"35","0.8727964520454407","0.8640891909599304","0.8795008659362793","0.9365769028663635","0.9239664673805237","0.9426804780960083","0.8848874688148498","0.8682042956352234","0.8924612998962402","0.7328052282333374","0.698874294757843","0.7561753392219543","0.8938320636749267","0.8870056867599487","0.9083523154258728","0.8615076899528503","0.8303317427635193","0.8904874324798584"
"36","0.8706358551979065","0.8628875017166138","0.8810768127441406","0.9388074725866318","0.9296799302101135","0.9442288875579834","0.8892592310905456","0.8844683766365051","0.8955100774765015","0.7503399014472961","0.6934524178504944","0.7780725359916687","0.8895075559616089","0.8857259154319763","0.8942191004753113","0.8543659925460816","0.8355190753936768","0.8814753890037537"
"37","0.8707027435302734","0.8600935339927673","0.8805096745491028","0.9387814700603485","0.9259796738624573","0.9493933916091919","0.8895827531814575","0.8792822360992432","0.899377167224884","0.7369329452514648","0.6834277510643005","0.8128400444984436","0.8915579915046692","0.8816680312156677","0.9023051857948303","0.8615354895591736","0.8358258605003357","0.8887348175048828"
"38","0.8721237540245056","0.8606299161911011","0.8786702752113342","0.9362393170595169","0.927177906036377","0.9437360763549805","0.8893414735794067","0.8781998157501221","0.8950608372688293","0.7371832728385925","0.6602150201797485","0.8064982295036316","0.8929756641387939","0.8836798071861267","0.9041807651519775","0.8589211463928222","0.8137571215629578","0.8869003653526306"
"39","0.8695815563201904","0.8616401553153992","0.8755025267601013","0.9378554672002792","0.93252032995224","0.9421984553337097","0.8872193813323974","0.8755634427070618","0.897474467754364","0.7186389684677124","0.6903690695762634","0.7465310096740723","0.8918328285217285","0.8849701285362244","0.900338351726532","0.8610129117965698","0.8463565707206726","0.8806360960006714"
"40","0.8719480633735657","0.8629941940307617","0.8797218799591064","0.9342763274908066","0.9187078475952148","0.9427537322044373","0.8867618680000305","0.8758583664894104","0.8931151628494263","0.7470546245574952","0.7021604776382446","0.798082709312439","0.886359441280365","0.8753297924995422","0.8934186100959778","0.8582349300384522","0.8377488255500793","0.8815371990203857"
"41","0.8702508807182312","0.8613091707229614","0.8781719207763672","0.935474082827568","0.9319060444831848","0.9402722120285034","0.8903738498687744","0.8762006163597107","0.9043490886688232","0.7169414043426514","0.6797988414764404","0.7481249570846558","0.8855218291282654","0.8752291202545166","0.896542489528656","0.8522159576416015","0.8188691735267639","0.8805969953536987"
"42","0.8694027423858642","0.861384928226471","0.8764919638633728","0.9346991330385208","0.9291544556617737","0.9429193139076233","0.8845218539237976","0.8747797608375549","0.8955042958259583","0.7216173768043518","0.6610169410705566","0.7847285866737366","0.8870891451835632","0.881177544593811","0.8900908827781677","0.8545462012290954","0.8254539966583252","0.8951898813247681"
"43","0.8691934227943421","0.8622165322303772","0.875826358795166","0.9330264925956726","0.9207741618156433","0.9391999840736389","0.8845516681671143","0.8751851320266724","0.8933351635932922","0.7240997910499573","0.6811279654502869","0.73893803358078","0.8876152276992798","0.8782585263252258","0.8933244347572327","0.8545604944229126","0.8171157240867615","0.8803446292877197"
"44","0.8696229338645936","0.8626023530960083","0.8772112727165222","0.9364885240793228","0.9303634762763977","0.9394131302833557","0.8874915957450866","0.8791163563728333","0.8967794179916382","0.729162871837616","0.7010489702224731","0.7855051159858704","0.885507333278656","0.8730728030204773","0.894404947757721","0.8493967652320862","0.8247970342636108","0.8726205229759216"
"45","0.8687918305397033","0.8599715828895569","0.877042829990387","0.9292324781417847","0.9235807657241821","0.9346849918365479","0.8874349594116211","0.8766648769378662","0.9038670659065247","0.7256078869104385","0.711508572101593","0.7562141418457031","0.8854824423789978","0.8756537437438965","0.8921725153923035","0.8368248581886292","0.8120075464248657","0.8561846613883972"
"46","0.8681553840637207","0.8606091737747192","0.875161349773407","0.933489590883255","0.9254358410835266","0.9394329786300659","0.8824844479560852","0.8718389868736267","0.8938547372817993","0.7247855514287949","0.6939471364021301","0.7894737124443054","0.885610020160675","0.8779506683349609","0.8913013339042664","0.851314127445221","0.8343214988708496","0.8742958307266235"
"47","0.8702391505241394","0.8623770475387573","0.8801921606063843","0.9334602952003479","0.9292929768562317","0.9374300241470337","0.8859755039215088","0.8740452527999878","0.9009994864463806","0.7259282618761063","0.7084130048751831","0.7542186379432678","0.8861394882202148","0.8750983476638794","0.8928571343421936","0.8500185132026672","0.8303298950195312","0.8805820345878601"
"48","0.8691444158554077","0.8599227070808411","0.8780772089958191","0.9327656179666519","0.9291195869445801","0.9342823624610901","0.8819500923156738","0.8717811703681946","0.8908993005752563","0.733105331659317","0.7117750644683838","0.7558935284614563","0.8824174880981446","0.8727248907089233","0.8869109749794006","0.8382762789726257","0.8123025894165039","0.880923867225647"
"49","0.8702263236045837","0.8625795841217041","0.8775377869606018","0.9302701950073242","0.9163874387741089","0.9399875998497009","0.882955002784729","0.8708750009536743","0.8971291780471802","0.7448760867118835","0.7221609950065613","0.7571801543235779","0.8823470592498779","0.8740270137786865","0.8888450860977173","0.8459809422492981","0.8070859909057617","0.8832240104675293"
"50","0.8694875955581665","0.86217200756073","0.8774510025978088","0.9290371835231781","0.924371063709259","0.936574399471283","0.883365797996521","0.8724274635314941","0.8901142477989197","0.7486452758312225","0.7088838219642639","0.7979871034622192","0.8830093145370483","0.8717982172966003","0.8922975063323975","0.8489874124526977","0.8302972316741943","0.869683563709259"
"51","0.8701627969741821","0.8627831339836121","0.8770682215690613","0.9272403120994568","0.9197936058044434","0.9360244274139404","0.8837728500366211","0.8751155138015747","0.8928948640823364","0.7664479166269302","0.7399895787239075","0.8032200336456299","0.8818815350532532","0.8731973767280579","0.8856695294380188","0.8515926599502563","0.8312770128250122","0.877690851688385"
"52","0.8689511299133301","0.8599482774734497","0.8779069185256958","0.9295617491006851","0.923258364200592","0.9336028695106506","0.8817790508270263","0.8737682700157166","0.8917703032493591","0.7381374537944794","0.6637837886810303","0.8022181391716003","0.8811584711074829","0.8697516918182373","0.8881921172142029","0.8474517464637756","0.8209599852561951","0.8659677505493164"
"53","0.8685637354850769","0.8614388108253479","0.8755635023117065","0.9281379282474518","0.9174298644065857","0.9358577728271484","0.8811464309692383","0.8716117739677429","0.8944510817527771","0.7476434111595154","0.7175626754760742","0.7764109969139099","0.8825464725494385","0.8738154172897339","0.8920339345932007","0.847047758102417","0.8179073333740234","0.8678377866744995"
"54","0.8695261955261231","0.8605942726135254","0.8788703680038452","0.9279201626777649","0.9196823835372925","0.9371213316917419","0.8781814813613892","0.8698371648788452","0.889324963092804","0.7578972280025482","0.732600748538971","0.8003766536712646","0.8786929368972778","0.8674125075340271","0.8866666555404663","0.8415068030357361","0.8275970816612244","0.8571668267250061"
"55","0.8681120872497559","0.861556351184845","0.8723240494728088","0.9286429435014725","0.9219053387641907","0.9338719248771667","0.8814592003822327","0.874843180179596","0.8892530202865601","0.7493150979280472","0.7280647158622742","0.7729730010032654","0.8818559646606445","0.8734210133552551","0.8900896310806274","0.8504794597625732","0.8284821510314941","0.8722996115684509"
"56","0.8679007530212403","0.8592678904533386","0.8791065812110901","0.9229492694139481","0.9173763394355774","0.9265221953392029","0.8822386622428894","0.8739352226257324","0.8888599872589111","0.7475995421409607","0.6987040638923645","0.7870439291000366","0.8800476431846619","0.8676639795303345","0.8881507515907288","0.8373733401298523","0.7987234592437744","0.8645528554916382"
"57","0.8673404335975647","0.8579722046852112","0.8762446641921997","0.9288269430398941","0.9171008467674255","0.9366587400436401","0.8794165253639221","0.8737966418266296","0.8903611302375793","0.7429916858673096","0.7217963337898254","0.7667766809463501","0.8773517727851867","0.8670756220817566","0.8849719166755676","0.837937867641449","0.8147926926612854","0.855607271194458"
"58","0.8687575697898865","0.859755277633667","0.8790668249130249","0.9217829257249832","0.9156193733215332","0.9255682826042175","0.8786830902099609","0.8656177520751953","0.8956625461578369","0.7860482037067413","0.7518072724342346","0.8204747438430786","0.8809677958488464","0.8749185800552368","0.8877118825912476","0.8339872837066651","0.7968060374259949","0.8634007573127747"
"59","0.8698084115982055","0.8589115142822266","0.8771159648895264","0.9230625927448273","0.913642406463623","0.9298038482666016","0.8782749652862549","0.86622154712677","0.8905166387557983","0.7641743570566177","0.7449703812599182","0.7830769419670105","0.8780868768692016","0.8724062442779541","0.8857143521308899","0.8414962887763977","0.8148040771484375","0.8612626194953918"
"60","0.8685427665710449","0.8587026596069336","0.8750160932540894","0.9256720095872879","0.9154258370399475","0.9324447512626648","0.8776790022850036","0.8692437410354614","0.8889890313148499","0.7265789906183878","0.6972860097885132","0.7550097107887268","0.8782010555267334","0.8707596659660339","0.8822010159492493","0.8299711108207702","0.8049558997154236","0.8455870747566223"
"61","0.8677583456039428","0.8596898913383484","0.875193178653717","0.9229642003774643","0.9138712882995605","0.9301415085792542","0.8768625736236573","0.8665080070495605","0.8911600708961487","0.7282654245694479","0.6918238997459412","0.7518450021743774","0.8763325929641723","0.871953547000885","0.8817467093467712","0.8499656438827514","0.819176435470581","0.8802793622016907"
"62","0.8676640510559082","0.8601678609848022","0.8730709552764893","0.9244036674499512","0.9106314778327942","0.9305113554000854","0.8777444958686829","0.8704280257225037","0.8874660134315491","0.7349358598391215","0.7177777886390686","0.7512438297271729","0.8772412538528442","0.8695878386497498","0.8807172775268555","0.8430874586105347","0.8151775002479553","0.868863582611084"
"63","0.8683050274848938","0.8603121042251587","0.8750806450843811","0.9224352687597275","0.9137652516365051","0.9279869198799133","0.8775975942611695","0.8698024749755859","0.8865952491760254","0.7823851108551025","0.7479674816131592","0.8366064429283142","0.8758090853691101","0.8703800439834595","0.8787405490875244","0.8345677375793457","0.8204124569892883","0.8482316136360168"
"64","0.8685026645660401","0.8601678609848022","0.8760810494422913","0.9226854741573334","0.9121413230895996","0.9284970760345459","0.8781903266906739","0.865288257598877","0.8905865550041199","0.7492636640866598","0.7373417615890503","0.75803142786026","0.8767414212226867","0.8674096465110779","0.8824366927146912","0.8345329880714416","0.8091163635253906","0.8502545952796936"
"65","0.86806640625","0.861075222492218","0.877363383769989","0.925126314163208","0.9129080176353455","0.9306197762489319","0.8755756974220276","0.8636484146118164","0.8891789317131042","0.7309980193773905","0.6943191885948181","0.7604594230651855","0.8751697063446044","0.8664370775222778","0.8793014287948608","0.8446171641349792","0.8211275339126587","0.8696243166923523"
"66","0.8690588593482971","0.8616238832473755","0.878149688243866","0.9240623116493225","0.9161918759346008","0.9307121634483337","0.8765424609184265","0.8680431246757507","0.8878877758979797","0.7603386441866556","0.7461339831352234","0.7713125348091125","0.8752225756645202","0.8648027181625366","0.882245659828186","0.8257723212242126","0.8024157285690308","0.8439016938209534"
"67","0.86812903881073","0.8594636917114258","0.8767565488815308","0.9228973239660263","0.9108683466911316","0.9329652190208435","0.8751013040542602","0.8649172782897949","0.8856078386306763","0.758423368136088","0.7212004065513611","0.8064798712730408","0.8740524530410767","0.8659728765487671","0.8784318566322327","0.8362086892127991","0.8138290047645569","0.864905059337616"
"68","0.8679149746894836","0.8578778505325317","0.8763219118118286","0.922193631529808","0.9119001626968384","0.9271881580352783","0.8746082425117493","0.8652030229568481","0.8843493461608887","0.7670612633228302","0.7524589896202087","0.7816635370254517","0.8763098955154419","0.869638204574585","0.880770742893219","0.8352241277694702","0.8230875730514526","0.8406609892845154"
"69","0.867753517627716","0.8587054014205933","0.8747427463531494","0.9237409979104996","0.9157385230064392","0.9270543456077576","0.8739988327026367","0.8628107309341431","0.8837565779685974","0.7514887154102325","0.7507417798042297","0.7522356510162354","0.8734695076942444","0.8664453625679016","0.8789243698120117","0.833928108215332","0.8194634318351746","0.8476414680480957"
"70","0.8685341358184815","0.8596604466438293","0.8780518770217896","0.9227733761072159","0.9060749411582947","0.9311651587486267","0.8755842089653015","0.8646433353424072","0.8856849074363708","0.704190731048584","0.6979742050170898","0.7104072570800781","0.874636995792389","0.8660725355148315","0.8827306032180786","0.8333568692207336","0.8196083903312683","0.8486701250076294"
