"Step","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MAX"
"20","0.9390597462654113","0.9284821152687073","0.9488621950149536","0.6676044017076492","0.6474118232727051","0.6789197325706482","0.8220805287361145","0.8160790205001831","0.8269567489624023","0.18404601365327836","0.11952988058328629","0.28019505739212036","0.8592648148536682","0.8338334560394287","0.8778444528579712","0.7879219770431518","0.765441358089447","0.8102025389671326"
"21","0.9448612213134766","0.9378594756126404","0.9494873881340027","0.6782945543527603","0.6686671376228333","0.6895473599433899","0.8285571336746216","0.8112028241157532","0.8522130250930786","0.14511127769947052","0.07364340871572495","0.2371843010187149","0.8710677623748779","0.8569642305374146","0.8839709758758545","0.5383095860481262","0.519004762172699","0.5617654323577881"
"22","0.9448612213134766","0.9367341995239258","0.9519879817962646","0.6896411627531052","0.6750437617301941","0.7023005485534668","0.8407351851463318","0.8294573426246643","0.8515878915786743","0.14723681062459945","0.08102025836706161","0.22193048894405365","0.8593648433685303","0.8480870127677917","0.8814703822135925","0.6156038880348206","0.5671417713165283","0.66254061460495"
"23","0.9444611191749572","0.9361090064048767","0.953238308429718","0.7271817922592163","0.6986746788024902","0.753563404083252","0.8434108614921569","0.8228307366371155","0.8607151508331299","0.22020504921674727","0.11402850598096848","0.31420356035232544","0.8647411823272705","0.834458589553833","0.8927232027053833","0.6366841554641723","0.6252813339233398","0.6516628861427307"
"24","0.951187789440155","0.9464865922927856","0.9571142792701721","0.7018316984176636","0.6946736574172974","0.7055513858795166","0.8353338360786438","0.8097023963928223","0.8473368287086487","0.17344336062669755","0.08939734846353531","0.2526881694793701","0.8702675700187683","0.8167041540145874","0.9003500938415527","0.6575893759727478","0.633158266544342","0.6972993016242981"
"25","0.9442860722541809","0.9261065125465393","0.9536134004592896","0.7180545181035995","0.6906726956367493","0.7414353489875793","0.8702675700187683","0.8567141890525818","0.8839709758758545","0.1760440081357956","0.1384095996618271","0.20680169761180878","0.8842460632324218","0.8588396906852722","0.8999750018119812","0.6679169654846191","0.6339084506034851","0.6919229626655579"
"26","0.9518879652023315","0.9488621950149536","0.9594898819923401","0.7161165177822113","0.6931732892990112","0.7395598888397217","0.8660415053367615","0.8515878915786743","0.8889722228050232","0.177794449031353","0.12415603548288345","0.24068516492843628","0.870292580127716","0.83745938539505","0.9016004204750061","0.6804951190948486","0.6462865471839905","0.7355588674545288"
"27","0.9530882835388184","0.944486141204834","0.9574893712997437","0.7290885150432587","0.6949237585067749","0.7749437093734741","0.8687421798706054","0.8394598364830017","0.8862215280532837","0.1758939728140831","0.0888972207903862","0.2194298505783081","0.8808702111244202","0.850337564945221","0.9022255539894104","0.7053763389587402","0.6907976865768433","0.7173043489456177"
"28","0.9563140869140625","0.9506126642227173","0.9609902501106262","0.7269004732370377","0.7230557799339294","0.7340584993362427","0.8705926537513733","0.85096275806427","0.8823455572128296","0.16674168556928634","0.07814453542232513","0.26744186878204346","0.9004751205444336","0.8747186660766602","0.9127281904220581","0.7166041374206543","0.6891722679138184","0.7560639977455139"
"29","0.9596649050712586","0.9562390446662903","0.9628657102584839","0.7481557875871658","0.7313078045845032","0.7636909484863281","0.8676919221878052","0.847836971282959","0.8904725909233093","0.14153538644313812","0.07439360022544861","0.26144036650657654","0.8936483979225158","0.8769692182540894","0.9048511981964111","0.70982745885849","0.6460365056991577","0.7768192291259766"
