"Step","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX"
"20","0.03417160473763943","0.02094094641506672","0.04705566167831421","0.0678649628534913","0.04059314355254173","0.1212366446852684","0.495301878452301","0.3691483438014984","0.5907358527183533","0.5620883703231812","0.5251589417457581","0.5810607075691223","0.5115329384803772","0.49500948190689087","0.5316418409347534"
"21","0.03403412327170372","0.02613574080169201","0.04844200238585472","0.07150677032768726","0.04342518374323845","0.12699967622756958","0.4953828930854797","0.37680384516716003","0.5794392228126526","0.564154863357544","0.527301013469696","0.5866851806640625","0.26495825350284574","0.1641159951686859","0.3409614562988281"
"22","0.033844238892197606","0.024979745969176292","0.03918495401740074","0.08095632772892714","0.05247173830866814","0.10333006829023361","0.5200194358825684","0.468789279460907","0.6003717184066772","0.5737988948822021","0.5586283206939697","0.5929781198501587","0.2987887352705002","0.19957686960697174","0.3587074875831604"
"23","0.032162245735526084","0.022250209003686905","0.04459265246987343","0.07635520212352276","0.0486111119389534","0.12827715277671814","0.46506317257881163","0.32575756311416626","0.5437231659889221","0.5665053844451904","0.549480140209198","0.5852645635604858","0.32269599437713625","0.287312388420105","0.34955698251724243"
"24","0.03503618389368057","0.023535851389169693","0.04272502288222313","0.05442292708903551","0.027542006224393845","0.08127035945653915","0.4569807589054108","0.34247490763664246","0.576309084892273","0.5685836434364319","0.5501474142074585","0.5873657464981079","0.3239120751619339","0.23583100736141205","0.39268213510513306"
"25","0.037974489480257036","0.029496971517801285","0.050059594213962555","0.05703047942370176","0.03562074527144432","0.07862026244401932","0.4184731364250183","0.28116080164909363","0.47707006335258484","0.5745757222175598","0.5552677512168884","0.5880136489868164","0.34576637744903566","0.30799323320388794","0.4286922514438629"
"26","0.033588253706693647","0.02651515230536461","0.042259033769369125","0.055006105452775955","0.03519313409924507","0.0856524407863617","0.5024877786636353","0.45556119084358215","0.5585989952087402","0.5746641635894776","0.5649531483650208","0.5836701989173889","0.34766008853912356","0.2943798899650574","0.3783078193664551"
"27","0.03508988991379738","0.021682940423488617","0.04194260388612747","0.06285343505442142","0.046794336289167404","0.079104945063591","0.5342622518539428","0.4436507821083069","0.5703794360160828","0.5662448883056641","0.5461319088935852","0.5832274556159973","0.3345355033874512","0.30090805888175964","0.358536034822464"
"28","0.034688811749219894","0.02839033491909504","0.043220993131399155","0.05981722567230463","0.04205144941806793","0.08532153815031052","0.5096665263175965","0.30325645208358765","0.672113835811615","0.5638675093650818","0.5442861914634705","0.5754667520523071","0.3542197048664093","0.3184965252876282","0.40102827548980713"
"29","0.0362611748278141","0.031363874673843384","0.045287325978279114","0.056030557956546545","0.030338196083903313","0.0754159539937973","0.5726260066032409","0.4609004855155945","0.6875","0.5660637974739074","0.5488759279251099","0.5869987607002258","0.34201878905296323","0.2919978201389313","0.4185698330402374"
"30","0.03339870497584343","0.02789284661412239","0.03901304677128792","0.06555742491036654","0.05041878670454025","0.09138498455286026","0.5851045489311218","0.5190735459327698","0.6500189304351807","0.5648934125900269","0.5525686144828796","0.5777146220207214","0.3488796591758728","0.29613301157951355","0.38920193910598755"
"31","0.03469646982848644","0.0304902084171772","0.04548989236354828","0.04633064474910498","0.02714691311120987","0.06560945510864258","0.5362838923931121","0.41993463039398193","0.6061035990715027","0.5774419188499451","0.5658455491065979","0.5898980498313904","0.37232003211975095","0.3219653069972992","0.4094955623149872"
"32","0.04170394279062748","0.02845691330730915","0.07190511375665665","0.0754114892333746","0.03231482952833176","0.09601695835590363","0.5590053558349609","0.48879772424697876","0.6185160875320435","0.571024489402771","0.5673508644104004","0.5774189829826355","0.3732687771320343","0.3334082365036011","0.4133436381816864"
"33","0.03741134405136108","0.03328964486718178","0.04606525972485542","0.05027102027088404","0.036229562014341354","0.0831809863448143","0.5929519534111023","0.5325814485549927","0.6568900346755981","0.5711858630180359","0.5629103779792786","0.5758275985717773","0.4076474249362946","0.359830766916275","0.44741085171699524"
"34","0.030187830328941345","0.028155604377388954","0.03419472649693489","0.06619374267756939","0.03489499166607857","0.11481746286153793","0.5713753879070282","0.4686754047870636","0.6489439010620117","0.5729469060897827","0.5635136961936951","0.5881516933441162","0.3746169686317444","0.3090929687023163","0.44716283679008484"
"35","0.03464642763137817","0.027080580592155457","0.03997378796339035","0.07464293856173754","0.05004535987973213","0.12068965286016464","0.5290889143943787","0.4230077862739563","0.6021729111671448","0.5745325207710266","0.5687337517738342","0.5854424834251404","0.3769357204437256","0.314975380897522","0.48233461380004883"
"36","0.034059783443808556","0.030641768127679825","0.04113639146089554","0.0508791022002697","0.03404654189944267","0.07216804474592209","0.5815370321273804","0.4731437563896179","0.6629926562309265","0.5674772262573242","0.5586416125297546","0.5777332782745361","0.37454811930656434","0.34167924523353577","0.4101558327674866"
"37","0.02927255630493164","0.02594120055437088","0.0374380387365818","0.04865945503115654","0.027163825929164886","0.06772009283304214","0.572893100976944","0.4819629490375519","0.6899798512458801","0.5578555405139923","0.47720494866371155","0.5884746313095093","0.37541428208351135","0.31440114974975586","0.42024290561676025"
"38","0.033212659507989885","0.028217298910021782","0.044990845024585724","0.06019233539700508","0.03703703731298447","0.0958029180765152","0.566870903968811","0.4139726758003235","0.6494033932685852","0.5696781516075134","0.5473423600196838","0.5818843245506287","0.37340490221977235","0.320631742477417","0.46807292103767395"
"39","0.03499854244291782","0.028232786804437637","0.04521004110574722","0.04481492890045047","0.027152830734848976","0.05939078703522682","0.54374480843544","0.41459277272224426","0.6259506940841675","0.5718433022499084","0.5516679883003235","0.590588390827179","0.3803156495094299","0.27247297763824463","0.4682106077671051"
"40","0.03341803699731827","0.02406078577041626","0.04168817773461342","0.05947594624012709","0.03552288934588432","0.07935786992311478","0.5412493705749511","0.515795886516571","0.5771093368530273","0.5704762578010559","0.5575432181358337","0.5798081755638123","0.3658882975578308","0.32608696818351746","0.40039703249931335"
"41","0.03768183067440987","0.03356481343507767","0.0467621348798275","0.05819372646510601","0.019930947571992874","0.09368159621953964","0.5859304308891297","0.5051226615905762","0.6440728306770325","0.572472357749939","0.5639578104019165","0.5874500274658203","0.38166632056236266","0.3300544023513794","0.4235760271549225"
"42","0.03733160123229027","0.035058215260505676","0.040475256741046906","0.03640476753935218","0.015982864424586296","0.05260888487100601","0.5951736450195313","0.5243314504623413","0.6476190686225891","0.5631430387496948","0.5156922340393066","0.5897141695022583","0.39601280093193053","0.3670547902584076","0.41611185669898987"
"43","0.03653287701308727","0.02838398702442646","0.04340631514787674","0.05470791272819042","0.026915770024061203","0.08826962113380432","0.6030020534992218","0.47076109051704407","0.7469287514686584","0.5586462378501892","0.5048280358314514","0.5812638401985168","0.4074515402317047","0.3434332311153412","0.4502919018268585"
"44","0.03344587534666062","0.02801724150776863","0.03630021959543228","0.03966707782819867","0.029243385419249535","0.04418639838695526","0.6451726853847504","0.5601296424865723","0.7175421118736267","0.5632646322250366","0.5249446630477905","0.5869338512420654","0.4068307876586914","0.3615694046020508","0.4324610233306885"
"45","0.03393113724887371","0.03038674034178257","0.036609113216400146","0.05316878296434879","0.03480825945734978","0.10608672350645065","0.6234746500849724","0.4777096211910248","0.7136282920837402","0.5609376549720764","0.5034111738204956","0.5887604355812073","0.4188964068889618","0.37853267788887024","0.4697526693344116"
"46","0.03442620038986206","0.028493523597717285","0.03962944075465202","0.03814980899915099","0.025316456332802773","0.057251907885074615","0.5985284224152565","0.48154595494270325","0.7016283273696899","0.5707722663879394","0.5472249984741211","0.591541588306427","0.40238146781921386","0.37524327635765076","0.43005087971687317"
"47","0.03352438993752003","0.027155285701155663","0.039261266589164734","0.03622738691046834","0.019613996148109436","0.0560000017285347","0.6523414552211761","0.5704336762428284","0.7123287916183472","0.5727984786033631","0.5632874369621277","0.5823700428009033","0.3902904808521271","0.3552226424217224","0.48421886563301086"
"48","0.035705970227718355","0.03217402473092079","0.03931712359189987","0.03710001381114125","0.02570655383169651","0.045052167028188705","0.5859389305114746","0.490257203578949","0.6868798136711121","0.5715117812156677","0.5617712736129761","0.5831480622291565","0.4094048023223877","0.36074134707450867","0.48475611209869385"
"49","0.032672112062573436","0.024701522663235664","0.03953488543629646","0.046930321492254734","0.03312443941831589","0.05742909386754036","0.6286905705928802","0.5710093975067139","0.6847445964813232","0.5647262811660767","0.5488677620887756","0.5799573659896851","0.38219382166862487","0.31755658984184265","0.4347594678401947"
"50","0.033043757826089856","0.02615005522966385","0.03924082964658737","0.03936667274683714","0.026336416602134705","0.047132641077041626","0.5810174122452736","0.4697953164577484","0.6739001274108887","0.570143723487854","0.5521385073661804","0.5853106379508972","0.4051549732685089","0.3223426342010498","0.461824506521225"
"51","0.035148746147751805","0.030560271814465523","0.03844679892063141","0.041683821473270655","0.025241276249289513","0.05106888338923454","0.5934459269046783","0.5816601514816284","0.6094251871109009","0.5643083572387695","0.54059237241745","0.5880967378616333","0.3975705623626709","0.31299030780792236","0.4583875834941864"
"52","0.03669552206993103","0.029159072786569595","0.04279709607362747","0.04206233052536845","0.02934735082089901","0.058553215116262436","0.5881409868597984","0.3402877748012543","0.7051422595977783","0.5679479241371155","0.5268365144729614","0.5855870246887207","0.4065526247024536","0.37698492407798767","0.4438052773475647"
