"Step","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio over conf 0.95","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MAX"
"47","0.39283186197280884","0.359613299369812","0.4152914583683014","0.03711715200915933","0.02007213421165943","0.05696951597929001","0.5833794355392456","0.565727710723877","0.592627227306366","0.7624919414520264","0.731357216835022","0.8168168067932129","0.5775039911270141","0.5669162273406982","0.5886349081993103","0.38994626998901366","0.3552226424217224","0.48253515362739563"
"48","0.4189011812210083","0.3863055408000946","0.463087260723114","0.037904858123511076","0.025991586968302727","0.04535398259758949","0.584151816368103","0.5761570930480957","0.5922282338142395","0.7458730340003967","0.7175687551498413","0.7602019906044006","0.576320493221283","0.5660087466239929","0.5857166051864624","0.4089899957180023","0.36066749691963196","0.4827559292316437"
"49","0.3970801830291748","0.36293211579322815","0.43608254194259644","0.047939534299075603","0.03412308171391487","0.057811617851257324","0.5851638078689575","0.5742456912994385","0.5923933982849121","0.7388578504323959","0.6911290287971497","0.8085690140724182","0.5722655415534973","0.5570578575134277","0.5810641646385193","0.382135671377182","0.31755658984184265","0.4347594678401947"
"50","0.3961788356304169","0.358383446931839","0.41938140988349915","0.04073668085038662","0.02648487687110901","0.05000726878643036","0.58609539270401","0.5763975381851196","0.5944783091545105","0.7399089634418488","0.7059217691421509","0.7585907578468323","0.5779838562011719","0.5637564659118652","0.5888924598693848","0.40465550422668456","0.3223426342010498","0.4616718888282776"
"51","0.4185046672821045","0.397996723651886","0.42925748229026794","0.04320210264995694","0.025241276249289513","0.05314277857542038","0.5859283685684205","0.5699329972267151","0.5942654013633728","0.6814398914575577","0.65699702501297","0.6985395550727844","0.5763331651687622","0.56633460521698","0.5890550017356873","0.3973463773727417","0.31299030780792236","0.4583875834941864"
"52","0.4279546499252319","0.40728503465652466","0.4469848573207855","0.0427855309098959","0.029913906008005142","0.059319525957107544","0.579104995727539","0.5649721026420593","0.5869014859199524","0.7393333464860916","0.6935056447982788","0.8022660613059998","0.5770522832870484","0.5599769949913025","0.5880147814750671","0.4065374255180359","0.3769470453262329","0.44376716017723083"
"53","0.40269482135772705","0.35131946206092834","0.4363609850406647","0.045856642071157694","0.024914218112826347","0.06747864931821823","0.583761990070343","0.5733288526535034","0.592872142791748","0.7033062428236008","0.6608397364616394","0.7238209247589111","0.577123510837555","0.566504716873169","0.5883390307426453","0.3915469586849213","0.3104308247566223","0.4743233621120453"
"54","0.40506991147995","0.35068976879119873","0.44880715012550354","0.036312359385192394","0.029556650668382645","0.04101479798555374","0.5841472983360291","0.5783920288085938","0.5881243348121643","0.7466601878404617","0.6988515257835388","0.7827612161636353","0.5757089138031006","0.5666704177856445","0.5889846086502075","0.41071430444717405","0.35160166025161743","0.4379645884037018"
"55","0.42148027420043943","0.379724383354187","0.4581510126590729","0.03622063435614109","0.028765538707375526","0.046060945838689804","0.5859762310981751","0.5726607441902161","0.5994529128074646","0.7243725657463074","0.6887850761413574","0.7516612410545349","0.5721775650978088","0.5542492866516113","0.5841321349143982","0.3974828541278839","0.3631996512413025","0.42962759733200073"
"56","0.4132192850112915","0.3846338093280792","0.4419662058353424","0.04689504764974117","0.039599522948265076","0.05778513476252556","0.5823032975196838","0.5711714029312134","0.5929869413375854","0.698302298784256","0.6633338332176208","0.7764904499053955","0.5741772532463074","0.5607888102531433","0.5864290595054626","0.40837339162826536","0.3341273367404938","0.47482070326805115"
"57","0.4185667037963867","0.37945494055747986","0.4639524519443512","0.03796193562448025","0.022899582982063293","0.052738334983587265","0.58513902425766","0.5772235989570618","0.5901346802711487","0.7258224934339523","0.64957594871521","0.8182515501976013","0.5741997838020325","0.5576667785644531","0.5888381004333496","0.40754943490028384","0.37401196360588074","0.45510685443878174"
"58","0.42281613945961","0.4005438983440399","0.4492434561252594","0.0499777365475893","0.02997549995779991","0.07300736755132675","0.5864052057266236","0.580418050289154","0.5966287851333618","0.7254189699888229","0.6740942597389221","0.7863708138465881","0.5798596739768982","0.5670469403266907","0.59395831823349","0.4331721246242523","0.3835291564464569","0.4712505042552948"
"59","0.41711207032203673","0.39826738834381104","0.44948527216911316","0.04092816449701786","0.02933293581008911","0.05501119792461395","0.5825962424278259","0.5738825798034668","0.5913720726966858","0.6978588700294495","0.6424037218093872","0.7304982542991638","0.5792620301246643","0.5691309571266174","0.590791642665863","0.4180622696876526","0.38200274109840393","0.44480326771736145"
"60","0.4139103710651398","0.3762624263763428","0.45456457138061523","0.029994470067322254","0.025960693135857582","0.040022868663072586","0.5805333018302917","0.5699782371520996","0.5892621278762817","0.7191843390464783","0.6996473073959351","0.7425423264503479","0.5770109295845032","0.568450391292572","0.5869472622871399","0.4356361567974091","0.3500764071941376","0.47930023074150085"
"61","0.4115451455116272","0.3957975208759308","0.43378064036369324","0.05640232935547829","0.03638165444135666","0.10313050448894501","0.5858407497406006","0.5714771151542664","0.5951869487762451","0.7494446436564127","0.734699547290802","0.778413712978363","0.5777646541595459","0.5681228041648865","0.594552218914032","0.4034532308578491","0.34986916184425354","0.4484579265117645"
"62","0.41479642391204835","0.3813920021057129","0.42941004037857056","0.03681008657440543","0.022396914660930634","0.06182905286550522","0.5850924253463745","0.5702690482139587","0.5963842272758484","0.7292772928873698","0.6888545155525208","0.7868852615356445","0.5750883936882019","0.5654526352882385","0.5882101058959961","0.4110384523868561","0.3645293712615967","0.4780803322792053"
"63","0.42706512808799746","0.41613122820854187","0.4534432888031006","0.044255401473492384","0.03022526390850544","0.05766039714217186","0.5831318378448487","0.5728177428245544","0.5874640345573425","0.7160340547561646","0.692013144493103","0.7610722780227661","0.580172884464264","0.5628691911697388","0.5938259959220886","0.4279309451580048","0.3628896474838257","0.4607079029083252"
"64","0.43393260836601255","0.41850849986076355","0.4511374235153198","0.03581965994089842","0.021242544054985046","0.04738539084792137","0.5892708659172058","0.5841246247291565","0.5933089852333069","0.7482226093610128","0.7078090906143188","0.7839316129684448","0.5806947827339173","0.5685989856719971","0.589438796043396","0.420379239320755","0.38334599137306213","0.4597471058368683"
"65","0.4062541961669922","0.39623379707336426","0.42277878522872925","0.03663954418152571","0.027773695066571236","0.058264635503292084","0.5908383131027222","0.5852034687995911","0.5941622257232666","0.7318958441416422","0.7037927508354187","0.7488151788711548","0.584031057357788","0.5735406875610352","0.5908606052398682","0.40984169244766233","0.36693713068962097","0.45328885316848755"
"66","0.4028240263462067","0.3854464590549469","0.41887331008911133","0.04510712344199419","0.03174831345677376","0.06464731693267822","0.5879916548728943","0.5840832591056824","0.5920907855033875","0.7516298492749532","0.7127378582954407","0.7731040716171265","0.5802752494812011","0.5622648000717163","0.5877029299736023","0.432889062166214","0.389212965965271","0.46248796582221985"
"67","0.4249863028526306","0.3935326933860779","0.4385952353477478","0.04935716697946191","0.025811942294239998","0.09756097197532654","0.5851996898651123","0.5775514841079712","0.5902325510978699","0.7172469894091288","0.6963573694229126","0.7377011775970459","0.5819456219673157","0.571537971496582","0.5907650589942932","0.4155514478683472","0.37071293592453003","0.46315956115722656"
"68","0.42223345637321474","0.40395110845565796","0.44333070516586304","0.03206925140693784","0.030825791880488396","0.03257054463028908","0.5869560480117798","0.5806346535682678","0.5908400416374207","0.7333411276340485","0.7268248796463013","0.7398573756217957","0.5827028632164002","0.5655884146690369","0.5925028920173645","0.4364722192287445","0.3846963047981262","0.4837721884250641"
"69","0.43518518209457396","0.38516688346862793","0.4638720452785492","0.03589851362630725","0.02499285899102688","0.04825662449002266","0.5890486836433411","0.5834488868713379","0.5950289368629456","0.6883772313594818","0.6743437051773071","0.7024107575416565","0.5839288234710693","0.572179913520813","0.5944910645484924","0.43610838055610657","0.3785064220428467","0.48324233293533325"
"70","0.42534094452857973","0.3943728506565094","0.4468843638896942","0.03344708727672696","0.01995597966015339","0.0664968490600586","0.5877689003944397","0.5731505155563354","0.5979920029640198","0.7577553391456604","0.7400764226913452","0.7754342555999756","0.5840425610542297","0.5730025768280029","0.5930895209312439","0.43035844564437864","0.41187432408332825","0.47211045026779175"
"71","0.42426576614379885","0.40492308139801025","0.4362773597240448","0.03378957649692893","0.01566462777554989","0.044946957379579544","0.5840990543365479","0.5689770579338074","0.5918079614639282","0.6582596898078918","0.649677574634552","0.6668418049812317","0.5823618412017822","0.5736896991729736","0.5886271595954895","0.4381137013435364","0.40037310123443604","0.4951073229312897"
"72","0.43560968041419984","0.4103813171386719","0.469362735748291","0.03814602456986904","0.020008763298392296","0.05508362129330635","0.5879504919052124","0.5752918720245361","0.5940609574317932","0.6868644952774048","0.6386554837226868","0.7350735068321228","0.5826646447181701","0.5698895454406738","0.588889479637146","0.4380336344242096","0.3821512460708618","0.5109045505523682"
"73","0.4212805211544037","0.3788425922393799","0.4539588987827301","0.03798360098153353","0.02552105486392975","0.05395488068461418","0.5858684301376342","0.5818626284599304","0.5930371880531311","0.7338597476482391","0.7228891253471375","0.7448303699493408","0.583306610584259","0.5705078840255737","0.5892726182937622","0.42895161509513857","0.3667275607585907","0.47706058621406555"
