"Step","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (CaliMatch) - Unseen-class ratio over conf 0.95","Grouped runs (CaliMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (CaliMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio over conf 0.95","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MAX"
"42","0.5039892494678497","0.4879651367664337","0.5150270462036133","0.5387039303779602","0.5366441607475281","0.5410709381103516","0.35083524584770204","0.3431759774684906","0.3561984896659851","0.4938569664955139","0.49009233713150024","0.5008542537689209","0.5200944662094116","0.5031390190124512","0.532900333404541","0.5226836919784545","0.5197056531906128","0.5266295671463013"
"43","0.5008084297180175","0.4885938763618469","0.5107746124267578","0.5382360458374024","0.5295125246047974","0.5493871569633484","0.3515797555446625","0.34113410115242004","0.35975900292396545","0.47875959277153013","0.47230783104896545","0.4842469096183777","0.5020173728466034","0.47662439942359924","0.5414977073669434","0.5217827916145324","0.5149263143539429","0.5267381072044373"
"44","0.5062180638313294","0.497458815574646","0.5142965912818909","0.5421947479248047","0.5306248664855957","0.5489280223846436","0.3547105729579926","0.34271010756492615","0.36811545491218567","0.49114850759506223","0.4699830412864685","0.5038254261016846","0.5139448881149292","0.4550185799598694","0.5453903079032898","0.5245299935340881","0.5179567933082581","0.5288888812065125"
"45","0.5057135343551635","0.4975240230560303","0.5119367837905884","0.5409205555915833","0.5345130562782288","0.5459587574005127","0.35445609092712405","0.34776192903518677","0.36461514234542847","0.4799379169940948","0.4356197416782379","0.49672508239746094","0.5259685695171357","0.49572649598121643","0.5624814629554749","0.5236397743225097","0.52150958776474","0.5270475745201111"
"46","0.5026155650615692","0.4919069707393646","0.5104394555091858","0.5420906662940979","0.5389740467071533","0.5480391383171082","0.35606510639190675","0.34717217087745667","0.364553302526474","0.49279037714004514","0.4730753004550934","0.5072062611579895","0.5198237776756287","0.5001451969146729","0.5488029718399048","0.5231135368347168","0.5187672972679138","0.5250790119171143"
"47","0.5056790947914124","0.4926897883415222","0.5137830376625061","0.5424229025840759","0.5369786024093628","0.5491505861282349","0.3510646641254425","0.3322443664073944","0.36066094040870667","0.4895847260951996","0.47185713052749634","0.5020888447761536","0.5089688241481781","0.4820398986339569","0.5278170108795166","0.526413094997406","0.522067129611969","0.5359962582588196"
"48","0.506277883052826","0.49613967537879944","0.5137246251106262","0.5429750323295593","0.5365278124809265","0.5478065013885498","0.3603735983371735","0.3519790768623352","0.37282708287239075","0.4941216766834259","0.4693322479724884","0.5180997252464294","0.5178443312644958","0.4955787658691406","0.5515957474708557","0.5217152118682862","0.5195402503013611","0.5255646705627441"
"49","0.5076096177101135","0.49059146642684937","0.5170702338218689","0.5443379282951355","0.5384759902954102","0.5517541170120239","0.3557076096534729","0.34808725118637085","0.36109402775764465","0.5030983865261078","0.49187716841697693","0.5092019438743591","0.5254517436027527","0.4873000979423523","0.5494475364685059","0.5262926697731019","0.5201972126960754","0.5350020527839661"
"50","0.5049175262451172","0.5002991557121277","0.5117230415344238","0.5450321793556213","0.5409213900566101","0.5493470430374146","0.3571491062641144","0.34767311811447144","0.36731722950935364","0.4964125037193298","0.4810126721858978","0.5086663365364075","0.5260148644447327","0.5039193630218506","0.5526315569877625","0.5301986455917358","0.5252507328987122","0.5385188460350037"
"51","0.5016425728797913","0.4918185770511627","0.5109058022499084","0.5475268483161926","0.5425731539726257","0.5518044829368591","0.35770208239555357","0.34258201718330383","0.3704589009284973","0.5013375699520111","0.4951970875263214","0.5072751641273499","0.5291894197463989","0.5112331509590149","0.5479704737663269","0.5279153227806092","0.5221680998802185","0.5321786403656006"
"52","0.5060558199882508","0.49284738302230835","0.5148879289627075","0.5491717219352722","0.5376505255699158","0.5600225329399109","0.3566224992275238","0.3415047824382782","0.3672894537448883","0.49745839834213257","0.48964399099349976","0.5088836550712585","0.5419607162475586","0.5026899576187134","0.5706713795661926","0.5303663492202759","0.5268340706825256","0.53543621301651"
"53","0.5087237477302551","0.4933739900588989","0.5170320868492126","0.5494260787963867","0.5408422350883484","0.5541911125183105","0.3581972062587738","0.3492807447910309","0.3651505410671234","0.4962301731109619","0.488274484872818","0.5068321824073792","0.5487472176551819","0.5217547416687012","0.5686695575714111","0.5280092835426331","0.5240494012832642","0.5310999155044556"
"54","0.5080525994300842","0.4997708797454834","0.5165917873382568","0.5488452792167664","0.5426822900772095","0.5556735396385193","0.3605221927165985","0.35037967562675476","0.3705478310585022","0.4979973495006561","0.48546433448791504","0.5131219029426575","0.5512187600135803","0.5035579800605774","0.5657069087028503","0.5278750419616699","0.5200163722038269","0.5360429286956787"
"55","0.5070063650608063","0.49155110120773315","0.518609881401062","0.550757110118866","0.5473122596740723","0.5560896396636963","0.36426114439964297","0.3546210527420044","0.3744698464870453","0.5026711761951447","0.48845943808555603","0.5101317763328552","0.5312479257583618","0.47640860080718994","0.5614411234855652","0.5293459296226501","0.5266279578208923","0.5324016809463501"
"56","0.5112905383110047","0.5011307001113892","0.5171540379524231","0.5505100846290588","0.5452862977981567","0.5562353134155273","0.36076847910881044","0.35363897681236267","0.3731631338596344","0.5000996708869934","0.49706003069877625","0.502467691898346","0.5372115254402161","0.516775906085968","0.573017418384552","0.5263713598251343","0.5167855620384216","0.5336856245994568"
"57","0.5089749455451965","0.5018169283866882","0.5131507515907288","0.5518288850784302","0.5486468076705933","0.5591470003128052","0.3677090644836426","0.3597482144832611","0.3773019313812256","0.4972316145896912","0.4847094714641571","0.5155802965164185","0.5285845041275025","0.508501410484314","0.5542691946029663","0.5310092091560363","0.5257940292358398","0.541146993637085"
"58","0.506622189283371","0.49226340651512146","0.512391984462738","0.5539836287498474","0.5481839776039124","0.5602561235427856","0.36059526801109315","0.3488868474960327","0.37873899936676025","0.5022553563117981","0.4990265965461731","0.5042639970779419","0.5316103339195252","0.5160173177719116","0.5656149983406067","0.5317906141281128","0.5277288556098938","0.5393226146697998"
"59","0.5031256556510926","0.4888001084327698","0.5112245678901672","0.5514330744743348","0.5421361923217773","0.5556516051292419","0.3682563126087189","0.3608100414276123","0.37405645847320557","0.49907968640327455","0.4843820631504059","0.5080755949020386","0.5496030330657959","0.5231738686561584","0.5764555335044861","0.5320430397987366","0.5274043083190918","0.5358021855354309"
"60","0.5079329371452331","0.5014244914054871","0.5157232880592346","0.553245198726654","0.549859881401062","0.5579375624656677","0.36299929022789","0.3524051308631897","0.373776912689209","0.5033605515956878","0.49283668398857117","0.5081080794334412","0.5450429916381836","0.5367720723152161","0.5573480725288391","0.5312600135803223","0.5264384150505066","0.5371496081352234"
"61","0.5098567247390747","0.49798280000686646","0.5195220112800598","0.5548113822937012","0.5517898797988892","0.5574830770492554","0.36339004039764405","0.3552367687225342","0.37367624044418335","0.5081998229026794","0.5025297999382019","0.5195029377937317","0.5401187062263488","0.5072866082191467","0.5918975472450256","0.5321404695510864","0.5294760465621948","0.5376003384590149"
"62","0.5085317850112915","0.4990159273147583","0.5135961771011353","0.5561835289001464","0.5527560114860535","0.5628612041473389","0.36800015568733213","0.35506701469421387","0.38739773631095886","0.5024921417236328","0.4914233088493347","0.5117254853248596","0.5386438131332397","0.5013309717178345","0.5754716992378235","0.5342610001564025","0.530899167060852","0.5373638272285461"
"63","0.5090599954128265","0.49685534834861755","0.5187785625457764","0.5553701877593994","0.551521360874176","0.5610566735267639","0.36842716932296754","0.3648351728916168","0.37253767251968384","0.5014492571353912","0.4908745586872101","0.5157856345176697","0.555081307888031","0.5200588703155518","0.5861148238182068","0.5328821063041687","0.528750479221344","0.5429374575614929"
"64","0.5100236356258392","0.4931590259075165","0.5190127491950989","0.5572863221168518","0.5520585775375366","0.5623649954795837","0.36784406900405886","0.3578159511089325","0.3777410089969635","0.5042048275470734","0.47058823704719543","0.5249081254005432","0.5574412941932678","0.5473998785018921","0.5741298794746399","0.5354804396629333","0.5316076874732971","0.5386317372322083"
"65","0.5094218254089355","0.5006315112113953","0.5169409513473511","0.5590093731880188","0.553903341293335","0.5619866847991943","0.36675665974617006","0.3584515452384949","0.3811336159706116","0.5073023676872254","0.49005043506622314","0.5200197100639343","0.5492738842964172","0.5098715424537659","0.5683247447013855","0.5342412233352661","0.5236501693725586","0.5388091802597046"
"66","0.5119364738464356","0.5043463110923767","0.5185806155204773","0.5588866353034974","0.5544633269309998","0.56740802526474","0.36717562675476073","0.3564229905605316","0.3773896396160126","0.5114380598068238","0.5041449666023254","0.5178241729736328","0.5327952861785888","0.5226886868476868","0.5467065572738647","0.53991219997406","0.530307412147522","0.5464391708374023"
"67","0.5111097931861878","0.5028382539749146","0.5178782939910889","0.5589566230773926","0.5543488264083862","0.5615441203117371","0.36697996854782106","0.3527624309062958","0.3769383728504181","0.5107020795345306","0.4972677528858185","0.5196821689605713","0.5466329097747803","0.5058823823928833","0.5692402124404907","0.5358609676361084","0.5328307747840881","0.5385909676551819"
"68","0.5117318272590637","0.5097535848617554","0.5142158269882202","0.5565101742744446","0.5530953407287598","0.5599464774131775","0.37105112671852114","0.3644733130931854","0.38684141635894775","0.5124107360839844","0.5053101181983948","0.5187477469444275","0.5532901525497437","0.5288135409355164","0.564656674861908","0.5377700448036193","0.5323765277862549","0.5403872132301331"
"69","0.5108017325401306","0.5052887797355652","0.5158635377883911","0.556830906867981","0.5533500909805298","0.5629104971885681","0.36614259481430056","0.35285890102386475","0.3771192133426666","0.5159396886825561","0.5078779458999634","0.5212240815162659","0.5472836256027221","0.5237321257591248","0.5665538907051086","0.5379229784011841","0.5321687459945679","0.5447114706039429"
"70","0.5105902016162872","0.4940003454685211","0.5202134847640991","0.559912133216858","0.557126522064209","0.5642625689506531","0.3684902489185333","0.3594488203525543","0.37651100754737854","0.5084497213363648","0.4970684051513672","0.5213651061058044","0.5563748240470886","0.5200427770614624","0.583807110786438","0.5394156336784363","0.533791184425354","0.5438842177391052"
"71","0.512890100479126","0.5006495118141174","0.5239585041999817","0.5566977500915528","0.5493333339691162","0.5619253516197205","0.3674524426460266","0.3575547933578491","0.37822121381759644","0.510233610868454","0.48252925276756287","0.5221645832061768","0.5574777841567993","0.5347950458526611","0.5761563181877136","0.5374870657920837","0.5346763134002686","0.5409609079360962"
"72","0.5139368057250977","0.5035718083381653","0.5245833396911621","0.5588503956794739","0.5561612248420715","0.5637326240539551","0.36956236362457273","0.36445653438568115","0.3745274841785431","0.5099338531494141","0.5056126713752747","0.5147503018379211","0.5565721035003662","0.5351002812385559","0.581504225730896","0.5414177179336548","0.5359398722648621","0.5448737740516663"
