"Step","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MIN","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MAX","Grouped runs (MTC) - In distribution over conf 0.95: ACC","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MIN","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MAX","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MAX"
"23","0.6558419108390808","0.6431767344474792","0.6752861738204956","0.6344486832618713","0.6227162480354309","0.6570724248886108","0.8743344306945801","0.8656606674194336","0.8805914521217346","0.7273518443107605","0.696177065372467","0.7447202205657959","0.8765281081199646","0.8629807829856873","0.8925318717956543","0.6185684442520142","0.5891307592391968","0.6672738194465637"
"24","0.6467686533927918","0.6300578117370605","0.6654099822044373","0.6109248518943786","0.6034790277481079","0.6161310076713562","0.8709137201309204","0.8600070476531982","0.8833865523338318","0.7164249658584595","0.6990246176719666","0.7491773962974548","0.8756381511688233","0.8454647660255432","0.9080644845962524","0.6177140355110169","0.5906763672828674","0.645473837852478"
"25","0.6550235271453857","0.6434598565101624","0.670685350894928","0.6055065393447876","0.5886123776435852","0.639268696308136","0.8657789468765259","0.8515080809593201","0.8786661624908447","0.714757239818573","0.6893370747566223","0.7304926514625549","0.875578236579895","0.8532289266586304","0.8991735577583313","0.6330568552017212","0.6231397390365601","0.6416028141975403"
"26","0.6534234404563903","0.6322376728057861","0.6662753820419312","0.6298202872276306","0.6042144298553467","0.668106734752655","0.8692227244377136","0.8616513609886169","0.8725455403327942","0.6905567646026611","0.6750263571739197","0.7314995527267456","0.8670869112014771","0.8349442481994629","0.8826945424079895","0.6267143011093139","0.6002410054206848","0.6773754954338074"
"27","0.6413632750511169","0.6324616074562073","0.6523297429084778","0.6245864272117615","0.575609028339386","0.6573807597160339","0.8644444108009338","0.8529412150382996","0.875130832195282","0.6781872034072876","0.6275386810302734","0.7115043997764587","0.872528338432312","0.8559514880180359","0.8957415223121643","0.6340328335762024","0.6184024810791016","0.6687995791435242"
"28","0.6526944041252136","0.642479419708252","0.6664997935295105","0.6173056244850159","0.5939490795135498","0.6310567855834961","0.8649516344070435","0.8552770614624023","0.8770833611488342","0.6950623273849488","0.6736596822738647","0.7144207954406738","0.8531606078147889","0.807894766330719","0.8937908411026001","0.6261029958724975","0.5845537185668945","0.6472694873809814"
"29","0.6515451788902282","0.6410663723945618","0.6612341403961182","0.6211791634559631","0.593127429485321","0.6457235217094421","0.8626989960670471","0.8553706407546997","0.8683834075927734","0.6860572814941406","0.6513482928276062","0.7007603049278259","0.8593229293823242","0.8268229365348816","0.884902834892273","0.6319868803024292","0.6145908832550049","0.6507636308670044"
"30","0.6419754385948181","0.6320732235908508","0.6553149819374084","0.6361063480377197","0.6184357404708862","0.6748831868171692","0.8594350099563599","0.8454217314720154","0.8743765950202942","0.6908084630966187","0.6726006269454956","0.7011550664901733","0.8525904417037964","0.7991831302642822","0.8773307204246521","0.6257119059562684","0.6031613945960999","0.6781972050666809"
"31","0.6481763482093811","0.6221981048583984","0.6797708868980408","0.6382473587989808","0.6095366477966309","0.669222354888916","0.8590517640113831","0.8463080525398254","0.869158923625946","0.6951749682426452","0.6507082581520081","0.7429991960525513","0.8528789281845093","0.8242096900939941","0.8862876296043396","0.6404260396957397","0.5927735567092896","0.6802855730056763"
"32","0.6490788698196411","0.6261614561080933","0.6593637466430664","0.6133381962776184","0.583630383014679","0.6308706402778625","0.8559527277946473","0.8481178283691406","0.8623124957084656","0.663616394996643","0.6095067262649536","0.7220059633255005","0.8518816351890564","0.8331878185272217","0.8711721301078796","0.64354909658432","0.6267772912979126","0.6622222065925598"
"33","0.6373464822769165","0.6244992017745972","0.6492537260055542","0.6088119506835937","0.5915923118591309","0.6327934861183167","0.8561451315879822","0.8454851508140564","0.8645903468132019","0.6780390620231629","0.6649175882339478","0.692173182964325","0.839326000213623","0.8176197409629822","0.8597603440284729","0.6340169310569763","0.5991735458374023","0.6554393172264099"
"34","0.6380541563034058","0.6275308132171631","0.6492509841918945","0.6131940007209777","0.5904553532600403","0.6421304941177368","0.8579094409942627","0.8552441596984863","0.8635992407798767","0.6692563533782959","0.6467766761779785","0.6789124011993408","0.840759789943695","0.8201124668121338","0.8666666746139526","0.6417918801307678","0.6214705109596252","0.6607276201248169"
"35","0.6393190741539001","0.6244081854820251","0.6529475450515747","0.6376261353492737","0.5964657664299011","0.6744494438171387","0.859138822555542","0.8463051319122314","0.8702225089073181","0.6680635452270508","0.6526621580123901","0.6847646832466125","0.8336361765861511","0.8116592168807983","0.8535912036895752","0.6381858825683594","0.6227665543556213","0.6653508543968201"
"36","0.6497202038764953","0.6366989612579346","0.6729536056518555","0.6232670903205871","0.6108906269073486","0.6393490433692932","0.8522181272506714","0.8494125008583069","0.8569037318229675","0.6663981795310974","0.6320269107818604","0.6898473501205444","0.840936827659607","0.8109338879585266","0.8835165500640869","0.624507212638855","0.5881965756416321","0.6396215558052063"
"37","0.6508231520652771","0.6345939636230469","0.6715420484542847","0.612936794757843","0.5666780471801758","0.6290966272354126","0.8494309425354004","0.844548761844635","0.8569396734237671","0.6496136665344239","0.6279193162918091","0.6742148995399475","0.82525132894516","0.7832021117210388","0.861621618270874","0.6263146758079529","0.5937776565551758","0.6627294421195984"
"38","0.6399172186851502","0.6280198693275452","0.6533641815185547","0.6138252496719361","0.5960256457328796","0.6261194944381714","0.852411425113678","0.8470097184181213","0.8572225570678711","0.6645102977752686","0.6560015082359314","0.6719635128974915","0.8242469429969788","0.7808858156204224","0.8592274785041809","0.6357879281044007","0.6145402789115906","0.6574465036392212"
"39","0.6449563384056092","0.6222917437553406","0.6593596339225769","0.6119591236114502","0.6005679965019226","0.6232789754867554","0.8490535974502563","0.8401236534118652","0.8598055243492126","0.6685325145721436","0.6341337561607361","0.7087996602058411","0.8103051781654358","0.7920546531677246","0.8511383533477783","0.6284205913543701","0.6166623830795288","0.6417174339294434"
"40","0.6504743933677674","0.6369330883026123","0.6649619936943054","0.6027017116546631","0.5818056464195251","0.6276295781135559","0.853570306301117","0.8491108417510986","0.8574827909469604","0.6451106786727905","0.6247740983963013","0.6752232313156128","0.8031186819076538","0.7633452415466309","0.8357964158058167","0.6348089456558228","0.618179440498352","0.6525478363037109"
"41","0.6491216540336608","0.6225495934486389","0.6649188995361328","0.6137650012969971","0.5998904705047607","0.6260662078857422","0.8476119875907898","0.8352519869804382","0.8568341732025146","0.6441912770271301","0.6360437273979187","0.6579333543777466","0.8149715781211853","0.8064076900482178","0.8312159776687622","0.6309480547904969","0.6118126511573792","0.6593549847602844"
"42","0.643878448009491","0.62360680103302","0.6702035665512085","0.6089511513710022","0.6026128530502319","0.6202755570411682","0.847615098953247","0.8367576599121094","0.8563267588615417","0.6369881272315979","0.6275885701179504","0.6472064256668091","0.8203524589538574","0.7962515354156494","0.8462809920310974","0.6273024320602417","0.6147732734680176","0.6518930792808533"
"43","0.6446486592292786","0.6184073090553284","0.6658135056495667","0.6115098357200622","0.5961960554122925","0.6331253051757812","0.8444861054420472","0.8323427438735962","0.8546448349952698","0.6608090400695801","0.6456636786460876","0.686122715473175","0.8120782375335693","0.7659198045730591","0.8289175033569336","0.6294124841690063","0.6106112599372864","0.6615169048309326"
"44","0.6408231496810913","0.6274575591087341","0.658507764339447","0.6056232929229737","0.575384259223938","0.6276248693466187","0.8410793662071228","0.8365334868431091","0.8443161249160767","0.6494124889373779","0.6338117718696594","0.6774064898490906","0.8047876477241516","0.7763974666595459","0.8396998643875122","0.6253753662109375","0.6120734810829163","0.6531588435173035"
"45","0.638007378578186","0.6266604065895081","0.6505580544471741","0.6126834392547608","0.6004441976547241","0.6245887875556946","0.8432707548141479","0.8332506418228149","0.8486677408218384","0.6612878561019897","0.6194891929626465","0.7320539951324463","0.7942345023155213","0.7767978310585022","0.8147367835044861","0.627052903175354","0.6138638854026794","0.6366980075836182"
