"Step","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MAX"
"46","0.5315999984741211","0.5120624899864197","0.5598124861717224","0.5277125000953674","0.5126875042915344","0.5396875143051147","0.25391249656677245","0.24806250631809235","0.2604374885559082","0.35625000596046447","0.31312501430511475","0.3933750092983246","0.09060000032186508","0.07468750327825546","0.10756249725818634","0.4803875029087067","0.4567500054836273","0.5166249871253967"
"47","0.5333625078201294","0.5183125138282776","0.5448125004768372","0.5276124954223633","0.5133749842643738","0.538937509059906","0.25426250100135805","0.2511875033378601","0.2574999928474426","0.3485874950885773","0.32774999737739563","0.3815625011920929","0.09091250002384185","0.0729999989271164","0.10506249964237213","0.48662500381469725","0.4751250147819519","0.49943751096725464"
"48","0.5357125043869019","0.5241875052452087","0.5568749904632568","0.5474625110626221","0.5276250243186951","0.5638124942779541","0.2603499948978424","0.24762499332427979","0.2764374911785126","0.36521250009536743","0.3293125033378601","0.4235000014305115","0.08709999918937683","0.05324999988079071","0.10537499934434891","0.473500007390976","0.4702500104904175","0.4778749942779541"
"49","0.5400374889373779","0.5194374918937683","0.5541250109672546","0.5274749875068665","0.46031248569488525","0.5797500014305115","0.26200000047683714","0.249937504529953","0.27250000834465027","0.3752500057220459","0.36662501096725464","0.38756251335144043","0.09366250038146973","0.06812500208616257","0.10631249845027924","0.49207499623298645","0.47437500953674316","0.5159375071525574"
"50","0.5327250003814697","0.5220000147819519","0.5518749952316284","0.5319624960422515","0.476437509059906","0.5801874995231628","0.2612625002861023","0.2524375021457672","0.27149999141693115","0.36361250281333923","0.3228749930858612","0.382687509059906","0.09156250059604645","0.07325000315904617","0.1107499971985817","0.5073874890804291","0.4934374988079071","0.5385624766349792"
"51","0.5328000068664551","0.5105000138282776","0.5591874718666077","0.5590375065803528","0.5421249866485596","0.5891249775886536","0.2573500007390976","0.24693749845027924","0.273375004529953","0.378725004196167","0.35081249475479126","0.3918125033378601","0.09873749911785126","0.0611874982714653","0.12587499618530273","0.49852500557899476","0.4648124873638153","0.5588750243186951"
"52","0.5428874969482422","0.5240625143051147","0.5681874752044678","0.5632375001907348","0.5207499861717224","0.6029375195503235","0.25868749916553496","0.23631249368190765","0.2669374942779541","0.3552250027656555","0.31949999928474426","0.38318750262260437","0.0929874986410141","0.08318749815225601","0.11287499964237213","0.5027124941349029","0.48487499356269836","0.5135625004768372"
"53","0.5497249960899353","0.5400000214576721","0.5598124861717224","0.5613624930381775","0.5424374938011169","0.5753750205039978","0.2594875007867813","0.24774999916553497","0.26768749952316284","0.36794999837875364","0.3491249978542328","0.3947499990463257","0.09251249879598618","0.07537499815225601","0.10849999636411667","0.48951250314712524","0.4819999933242798","0.5016875267028809"
"54","0.5460250020027161","0.5363125205039978","0.5581250190734863","0.5626625001430512","0.48887500166893005","0.6015625","0.26058749556541444","0.24631249904632568","0.2748124897480011","0.3793000042438507","0.3634375035762787","0.4116249978542328","0.10944999903440475","0.07412499934434891","0.1470624953508377","0.5064375042915344","0.4860000014305115","0.5205000042915344"
"55","0.5447749972343445","0.5164999961853027","0.5786874890327454","0.5757375001907349","0.562125027179718","0.5940625071525574","0.2629250049591064","0.25437501072883606","0.28575000166893005","0.3750874996185303","0.3490625023841858","0.3973749876022339","0.10672500133514404","0.07143750041723251","0.13875000178813934","0.49717499017715455","0.4716874957084656","0.5450624823570251"
"56","0.5547749996185303","0.5412499904632568","0.5717499852180481","0.5802125096321106","0.5528749823570251","0.6029375195503235","0.2664874970912933","0.25200000405311584","0.27512499690055847","0.3809125006198883","0.36543750762939453","0.41206249594688416","0.09080000072717667","0.06337500363588333","0.11037500202655792","0.49867500066757203","0.46149998903274536","0.5479375123977661"
"57","0.549162495136261","0.5378749966621399","0.5601875185966492","0.5823750019073486","0.5723749995231628","0.5950000286102295","0.27277499437332153","0.24793750047683716","0.2841874957084656","0.3735499978065491","0.34718748927116394","0.4022499918937683","0.11116249859333038","0.07768750190734863","0.1509999930858612","0.49611249566078186","0.4906874895095825","0.5035625100135803"
"58","0.5411124944686889","0.5291249752044678","0.5615000128746033","0.5951749920845032","0.5605624914169312","0.6223750114440918","0.2717124938964844","0.26481249928474426","0.28343749046325684","0.38332499861717223","0.36675000190734863","0.3918125033378601","0.10158750116825103","0.06987500190734863","0.1446875035762787","0.5110999882221222","0.49443748593330383","0.5364999771118164"
"59","0.5389500021934509","0.5277500152587891","0.5565624833106995","0.5761625170707703","0.5205625295639038","0.6103125214576721","0.2781125009059906","0.27006250619888306","0.28218749165534973","0.38413749933242797","0.35593751072883606","0.4035624861717224","0.10389999896287919","0.08037500083446503","0.12412499636411667","0.5098875045776368","0.4932500123977661","0.5303750038146973"
"60","0.5453125","0.5377500057220459","0.5582500100135803","0.5811625003814698","0.5404375195503235","0.6044374704360962","0.27917500138282775","0.2709375023841858","0.28824999928474426","0.3853250026702881","0.36506250500679016","0.4103749990463257","0.10237500071525574","0.08006250113248825","0.13606250286102295","0.5235249996185303","0.5083125233650208","0.5376874804496765"
"61","0.5576750040054321","0.5366250276565552","0.5830000042915344","0.6084874987602233","0.5876874923706055","0.625124990940094","0.2773124992847443","0.26124998927116394","0.289124995470047","0.395487505197525","0.367374986410141","0.4350000023841858","0.10004999935626983","0.08562500029802322","0.12274999916553497","0.4995999991893768","0.46956250071525574","0.5248749852180481"
"62","0.5487625002861023","0.5249999761581421","0.5651249885559082","0.5896999955177307","0.5380625128746033","0.6145625114440918","0.27162500023841857","0.2627499997615814","0.28581249713897705","0.37725000381469725","0.36162498593330383","0.4073125123977661","0.10300000011920929","0.0702499970793724","0.12656250596046448","0.5289125084877014","0.5001875162124634","0.5410000085830688"
"63","0.5515750050544739","0.5400000214576721","0.5679374933242798","0.6124249935150147","0.5898125171661377","0.6326249837875366","0.27644999623298644","0.2630625069141388","0.29487499594688416","0.38704999089241027","0.359562486410141","0.4179374873638153","0.11681250184774399","0.08150000125169754","0.1354999989271164","0.5191124975681305","0.48256251215934753","0.5385624766349792"
