Step,Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95,Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN,Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX,Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95,Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN,Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX,Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95,Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN,Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX,Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95,Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN,Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX,Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95,Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN,Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX
73,0.421687865,0.408195853,0.433992028,0.353812432,0.338379472,0.361721843,0.512156844,0.502074718,0.520792902,0.537699282,0.537699282,0.537699282,0.525061196,0.491237193,0.538810492
74,0.419891375,0.407394677,0.4314529,0.353347349,0.34196347,0.36980167,0.513414448,0.496298701,0.529878259,0.554169774,0.554169774,0.554169774,0.520449471,0.506949544,0.530606091
75,0.419946712,0.406128585,0.429968208,0.357537103,0.346762806,0.368136436,0.508827752,0.485904425,0.518998444,0.554169774,0.554169774,0.554169774,0.523458529,0.497879565,0.551463485
76,0.420053893,0.406434834,0.434248388,0.352569515,0.34351033,0.361732036,0.514680374,0.506171882,0.521707952,0.554169774,0.554169774,0.554169774,0.526227045,0.51356113,0.541395009
77,0.422579134,0.408543169,0.432428122,0.352153224,0.336755335,0.364264816,0.516163611,0.512683094,0.518953323,0.540119529,0.540119529,0.540119529,0.528449261,0.50848186,0.548757315
78,0.421589875,0.402546972,0.433070868,0.356748027,0.350401729,0.371089667,0.511203384,0.506098509,0.523733735,0.540119529,0.540119529,0.540119529,0.519057524,0.508374751,0.540837049
79,0.419873863,0.406807125,0.43087247,0.358545375,0.351827323,0.365572542,0.516029191,0.506795824,0.520878494,0.540119529,0.540119529,0.540119529,0.5261011,0.51365608,0.540612221
80,0.420575064,0.408146977,0.431592047,0.353959548,0.34434101,0.36745733,0.508804357,0.503880918,0.514807701,0.545151591,0.545151591,0.545151591,0.527113891,0.52018714,0.534263253
81,0.416399127,0.403093815,0.426698446,0.350697839,0.347364336,0.355220377,0.521938252,0.517738879,0.525026441,0.545151591,0.545151591,0.545151591,0.531064725,0.512772977,0.55851227
82,0.415801352,0.4024885,0.427388281,0.351929706,0.347466528,0.358539432,0.524777281,0.522866845,0.526731133,0.545151591,0.545151591,0.545151591,0.53002584,0.51402247,0.543246746
