"Step","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (Proposed) - In distribution over conf 0.95: ACC","Grouped runs (Proposed) - In distribution over conf 0.95: ACC__MIN","Grouped runs (Proposed) - In distribution over conf 0.95: ACC__MAX","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (MTC) - In distribution over conf 0.95: ACC","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MIN","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MAX","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MIN","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MAX","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MAX"
"20","0.8059852719306946","0.7986146807670593","0.8097305297851562","0.9254532933235169","0.9145220518112183","0.9405015110969543","0.7736697435379029","0.7562916278839111","0.7895435094833374","0.8534639596939086","0.80112224817276","0.9096774458885193","0.6956994771957398","0.6740624308586121","0.7293899655342102","0.7874103426933289","0.7689328193664551","0.8115090131759644"
"21","0.8060622692108155","0.7993420958518982","0.8137586712837219","0.9178133487701416","0.9104233980178833","0.92389315366745","0.7760597586631774","0.7634676694869995","0.7936870455741882","0.8625670433044433","0.819362461566925","0.8847765326499939","0.8683647990226746","0.8501344323158264","0.893117368221283","0.7914948105812073","0.7762187123298645","0.8100277185440063"
"22","0.799985671043396","0.7862165570259094","0.8089373707771301","0.9200220465660095","0.9079482555389404","0.9265305995941162","0.7826476097106934","0.765388011932373","0.8011773824691772","0.8370524406433105","0.7885410785675049","0.8682896494865417","0.8706663489341736","0.8547832369804382","0.8876485228538513","0.7874164938926697","0.7677235007286072","0.8006846904754639"
"23","0.7985801100730896","0.7828971147537231","0.8071466088294983","0.9248315930366516","0.9121129512786865","0.9385199546813965","0.781061339378357","0.7633188962936401","0.7922148108482361","0.8368818759918213","0.7666290402412415","0.8784046769142151","0.8552971005439758","0.8346642851829529","0.8754948377609253","0.7888263702392578","0.7719911932945251","0.7963488101959229"
"24","0.8003417611122131","0.7858911156654358","0.8086739182472229","0.9259044170379639","0.9181132316589355","0.9351511001586914","0.777069342136383","0.757892906665802","0.7945544719696045","0.8209283232688904","0.7463617324829102","0.8617331981658936","0.8509187459945678","0.8373633027076721","0.8709677457809448","0.7829829692840576","0.7736111283302307","0.7977547645568848"
"25","0.7997210502624512","0.7884386777877808","0.8102420568466187","0.9242652416229248","0.9120844006538391","0.9340049028396606","0.7768372893333435","0.7611216902732849","0.7910743355751038","0.8283517003059387","0.7919960618019104","0.8576186299324036","0.8531897783279419","0.8387004733085632","0.8650895357131958","0.7839607238769531","0.7763900756835938","0.7965986728668213"
"26","0.8023189663887024","0.7878521084785461","0.8196721076965332","0.9257554531097412","0.9173359870910645","0.9355179071426392","0.7740241646766662","0.7628647089004517","0.7932358384132385","0.813119912147522","0.7482621669769287","0.8557295799255371","0.8412364721298218","0.8227813243865967","0.8508385419845581","0.7850665211677551","0.7761622667312622","0.7922148108482361"
"27","0.7957327604293823","0.7819185256958008","0.8049242496490479","0.9289396286010743","0.9177785515785217","0.9401678442955017","0.7765420436859131","0.7616368532180786","0.803584635257721","0.7912082433700561","0.708168089389801","0.8434711694717407","0.8262246012687683","0.8080040812492371","0.8348226547241211","0.781908655166626","0.7631842494010925","0.8063737750053406"
"28","0.8003196358680725","0.7842657566070557","0.8085877299308777","0.9263788223266601","0.9172391295433044","0.9367898106575012","0.7737223982810975","0.7598260641098022","0.7853649258613586","0.8067293047904969","0.7475437521934509","0.8270214796066284","0.8294819712638855","0.8171412944793701","0.8444855809211731","0.7853842735290527","0.7819628715515137","0.7924342155456543"
"29","0.8006855130195618","0.7897409200668335","0.8084884285926819","0.9300666689872742","0.9157566428184509","0.941155731678009","0.7676008343696594","0.7468655705451965","0.7801147103309631","0.8180744647979736","0.7702766060829163","0.8361398577690125","0.827593469619751","0.8096902966499329","0.8519619107246399","0.7806287050247193","0.7742377519607544","0.7915493249893188"
