"Step","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MAX"
"21","0.7057999968528748","0.687874972820282","0.722000002861023","0.3389249980449677","0.3070000112056732","0.3636249899864197","0.687024998664856","0.6573749780654907","0.7227500081062317","0.1614749997854233","0.11187499761581421","0.21175000071525574","0.35457500219345095","0.3087500035762787","0.3855000138282776","0.6885249972343445","0.6606249809265137","0.7204999923706055"
"22","0.7139250040054321","0.7073749899864197","0.7276250123977661","0.3296999990940094","0.2931250035762787","0.34412500262260437","0.6856999874114991","0.6582499742507935","0.7067499756813049","0.18087499737739562","0.15324999392032623","0.21162499487400055","0.36449999213218687","0.34712499380111694","0.3842499852180481","0.6854999899864197","0.6572499871253967","0.7123749852180481"
"23","0.7133500099182128","0.6972500085830688","0.7258750200271606","0.3317000031471252","0.2745000123977661","0.35862499475479126","0.6936500072479248","0.6855000257492065","0.7038750052452087","0.16485000252723694","0.12849999964237213","0.22175000607967377","0.39690000414848325","0.3473750054836273","0.42287498712539673","0.6905500054359436","0.6625000238418579","0.7105000019073486"
"24","0.7133500099182128","0.7003750205039978","0.7236250042915344","0.3533500015735626","0.33125001192092896","0.3725000023841858","0.706725001335144","0.6955000162124634","0.7166249752044678","0.16414999961853027","0.12837499380111694","0.24050000309944153","0.4243249952793121","0.3918749988079071","0.4573749899864197","0.7171000003814697","0.7117499709129333","0.7237499952316284"
"25","0.7172000169754028","0.7022500038146973","0.737375020980835","0.3706250011920929","0.34837499260902405","0.4000000059604645","0.7118749976158142","0.6946250200271606","0.7221249938011169","0.18912499845027925","0.15012499690055847","0.2529999911785126","0.42292500138282774","0.39100000262260437","0.4401249885559082","0.7135249853134156","0.6919999718666077","0.7350000143051147"
"26","0.7156999945640564","0.699874997138977","0.7333750128746033","0.3538500010967255","0.32587501406669617","0.3734999895095825","0.7096750020980835","0.6837499737739563","0.7279999852180481","0.1940750002861023","0.15162500739097595","0.25174999237060547","0.4511250019073486","0.4248749911785126","0.4871250092983246","0.716349995136261","0.6936249732971191","0.7574999928474426"
"27","0.7287000060081482","0.7245000004768372","0.7382500171661377","0.3632000029087067","0.3426249921321869","0.3877499997615814","0.7279500007629395","0.6765000224113464","0.7537500262260437","0.22620000541210175","0.15412500500679016","0.3152500092983246","0.46040000319480895","0.4036250114440918","0.4934999942779541","0.7312999963760376","0.7117499709129333","0.7490000128746033"
"28","0.7214499950408936","0.7111250162124634","0.7282500267028809","0.36129999756813047","0.33024999499320984","0.38212499022483826","0.7211250066757202","0.6644999980926514","0.7647500038146973","0.19982500076293946","0.12212499976158142","0.2926250100135803","0.4656499981880188","0.45212501287460327","0.4726249873638153","0.7221000075340271","0.7059999704360962","0.7599999904632568"
"29","0.722350001335144","0.7139999866485596","0.7348750233650208","0.36965000033378603","0.35475000739097595","0.40062499046325684","0.7634750008583069","0.719124972820282","0.7876250147819519","0.20239999890327454","0.179625004529953","0.26662498712539673","0.46377500891685486","0.4205000102519989","0.5005000233650208","0.7349999904632568","0.7111250162124634","0.7543749809265137"
"30","0.731475007534027","0.7153750061988831","0.753125011920929","0.3696750044822693","0.33762499690055847","0.38999998569488525","0.7629499912261963","0.7362499833106995","0.7857499718666077","0.23935000002384185","0.22637499868869781","0.2631250023841858","0.4779500007629395","0.46274998784065247","0.49137499928474426","0.7434500098228455","0.7228749990463257","0.7573750019073486"
