"Step","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (Proposed) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio over conf 0.95","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MAX"
"26","0.49529482126235963","0.48804259300231934","0.502539873123169","0.39961330890655516","0.37184828519821167","0.4207057058811188","0.5527796864509582","0.5469228625297546","0.5568181872367859","0.6589662432670593","0.634017825126648","0.6851005554199219","0.4457887291908264","0.4196687638759613","0.4661254584789276","0.5495331287384033","0.5460569262504578","0.5519917607307434"
"27","0.4976198196411133","0.49319371581077576","0.5069751739501953","0.40015705227851867","0.3923841118812561","0.40506330132484436","0.5518423557281494","0.5440798401832581","0.5627376437187195","0.6468112468719482","0.616365909576416","0.6742345094680786","0.4615218758583069","0.4492169916629791","0.4731082320213318","0.5516838192939758","0.5442054271697998","0.5584531426429749"
"28","0.4965255558490753","0.4885372519493103","0.5009161233901978","0.40735468864440916","0.3973979949951172","0.4160892963409424","0.5513481616973877","0.5461453199386597","0.5634679794311523","0.6513288021087646","0.6296119093894958","0.686154842376709","0.4494757831096649","0.4336068034172058","0.47447195649147034","0.5487692952156067","0.5464411973953247","0.5513577461242676"
"29","0.49677579998970034","0.4873829782009125","0.5096153616905212","0.41616724133491517","0.4055872857570648","0.4382422864437103","0.5581862807273865","0.555341899394989","0.562261164188385","0.6429846167564393","0.614165186882019","0.6717687249183655","0.45189532041549685","0.43679893016815186","0.4669509530067444","0.5524807214736939","0.5480616688728333","0.5558342933654785"
"30","0.4986021637916565","0.49362698197364807","0.502349853515625","0.4002788782119751","0.378937691450119","0.4161882996559143","0.5587712049484252","0.5550190210342407","0.561890184879303","0.6408999800682068","0.6136906147003174","0.6775481700897217","0.4549448072910309","0.4438101053237915","0.46788740158081055","0.5527384757995606","0.5427050590515137","0.5581887364387512"
"31","0.5013611853122711","0.4953199326992035","0.5050305128097534","0.40963737964630126","0.39484164118766785","0.4291774332523346","0.5564673781394959","0.5515960454940796","0.5617854595184326","0.6482949018478393","0.6060301661491394","0.6986328363418579","0.46915567517280576","0.4528834819793701","0.4846390187740326","0.5544228434562684","0.5492070913314819","0.5593109130859375"
"32","0.5012363314628601","0.49223384261131287","0.5095133781433105","0.3939485907554626","0.37187498807907104","0.40969642996788025","0.5580989718437195","0.5538626313209534","0.5638446807861328","0.6408996939659118","0.6262446045875549","0.6723741888999939","0.46140279769897463","0.4564480483531952","0.4722042381763458","0.5547129154205322","0.550586998462677","0.5613582730293274"
"33","0.5019238114356994","0.4879767596721649","0.5095477104187012","0.3970890283584595","0.3920201361179352","0.4038124978542328","0.5610921740531921","0.5571215152740479","0.564945638179779","0.6504178166389465","0.6223278045654297","0.681715190410614","0.4697244346141815","0.4528626799583435","0.4868987500667572","0.5573322057724","0.5534929037094116","0.5609564781188965"
"34","0.4981533229351044","0.4959034025669098","0.5055291056632996","0.4075787901878357","0.3888888955116272","0.42134830355644226","0.5627836942672729","0.5568292737007141","0.5668644905090332","0.6438840985298157","0.6191195249557495","0.6615604758262634","0.4652773320674896","0.4485180377960205","0.48209869861602783","0.5603618025779724","0.552646815776825","0.5666712522506714"
"35","0.49990745782852175","0.487226277589798","0.5088152885437012","0.4139547228813171","0.395133912563324","0.4265759289264679","0.5641425371170044","0.5556724667549133","0.5722015500068665","0.6561243653297424","0.6139968037605286","0.6845552325248718","0.46927071213722227","0.4567818343639374","0.4780062437057495","0.5593017220497132","0.5542536973953247","0.5624302625656128"
