"Step","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (CaliMatch) - Selected ratio of i.d over conf 0.95__MAX"
"20","0.9111778020858765","0.8692172765731812","0.927856981754303","0.9340335249900817","0.9221055507659912","0.9433608651161194","0.0655663900077343","0.020380094647407532","0.10090022534132004","0.9344336152076721","0.9274818897247314","0.9424856305122375","0.8636659145355224","0.8514628410339355","0.8794698715209961","0.7346836924552917","0.6775444149971008","0.7644411325454712"
"21","0.9246811747550965","0.9207301735877991","0.9297324419021606","0.928182053565979","0.9247311949729919","0.9364840984344482","0.032933232933282854","0.01450362615287304","0.0477619394659996","0.9326081514358521","0.9211052656173706","0.9404851198196411","0.5103776037693024","0.4676169157028198","0.618779718875885","0.7669417460759481","0.7596899271011353","0.781320333480835"
"22","0.9265316367149353","0.917479395866394","0.9338584542274475","0.9336333990097045","0.9261065125465393","0.9418604373931885","0.0638909712433815","0.040760189294815063","0.09739934653043747","0.9367841958999634","0.9284821152687073","0.9436109066009521","0.6485121250152588","0.6010252833366394","0.6947987079620361","0.7650245825449625","0.7465616464614868","0.8009502291679382"
"23","0.9285571455955506","0.9216054081916809","0.9359840154647827","0.9291822910308838","0.9257314205169678","0.9343585968017578","0.06129032298922539","0.031132783740758896","0.09114778786897659","0.9403100728988647","0.9261065125465393","0.9529882669448853","0.6554138541221619","0.5781445503234863","0.7070517539978027","0.7784862915674845","0.7526881694793701","0.8007001876831055"
"24","0.9265566349029541","0.9169792532920837","0.931107759475708","0.9339834809303283","0.9198549389839172","0.9434858560562134","0.07764440998435021","0.037259314209222794","0.17566891014575958","0.9414103507995606","0.9348587393760681","0.9499874711036682","0.6643160700798034","0.6439110040664673","0.7019254565238953","0.7826956709225973","0.7695673704147339","0.801075279712677"
"25","0.9320080161094666","0.9246061444282532","0.9374843835830688","0.9399849891662597","0.9324831366539001","0.9438609480857849","0.06429107189178467","0.022130532190203667","0.11077769100666046","0.946436595916748","0.9368591904640198","0.9542385339736938","0.6797949433326721","0.6707926988601685","0.6980494856834412","0.7596899072329203","0.748812198638916","0.7695673704147339"
"26","0.9256314158439636","0.9146036505699158","0.9323580861091614","0.9368842124938965","0.9297324419021606","0.9418604373931885","0.045686420798301694","0.030257564038038254","0.07026756554841995","0.9447611927986145","0.9374843835830688","0.9498624801635742","0.6920730113983155","0.6676669120788574","0.7244310975074768","0.7909894188245138","0.7601900696754456","0.8323330879211426"
"27","0.9310077548027038","0.9228557348251343","0.936609148979187","0.9456364035606384","0.9394848942756653","0.9507376551628113","0.048637159168720245","0.02088022045791149","0.08327081799507141","0.9477869510650635","0.9324831366539001","0.9562390446662903","0.6698674559593201","0.637909471988678","0.7085521221160889","0.7969075640042623","0.7856964468955994","0.8082020282745361"
"28","0.9330082535743713","0.9266066551208496","0.939734935760498","0.943085765838623","0.9364840984344482","0.9487372040748596","0.04976244121789932","0.01837959513068199","0.09452363103628159","0.9497124314308166","0.9398599863052368","0.9558639526367188","0.6907727003097535","0.6516628861427307","0.7138034701347351","0.7752354741096497","0.751937985420227","0.795573890209198"
"29","0.9300075054168702","0.9258564710617065","0.9328582286834717","0.9455863952636718","0.9416103959083557","0.9492372870445251","0.09074768610298634","0.016879219561815262","0.28532132506370544","0.9499874949455261","0.9336084127426147","0.9594898819923401","0.6889722347259521","0.6385346055030823","0.7206801772117615","0.8095774054527283","0.7949487566947937","0.8190797567367554"
"30","0.9344836235046386","0.9222305417060852","0.9454863667488098","0.9455113768577575","0.9354838728904724","0.9521130323410034","0.053488371334969996","0.015378844924271107","0.09339834749698639","0.9519629836082458","0.9328582286834717","0.9604901075363159","0.6985496401786804","0.6825456619262695","0.7196798920631409","0.787655254205068","0.776569128036499","0.7956989407539368"
"31","0.9314828634262085","0.9237309098243713","0.9371092915534973","0.9526381611824035","0.9506126642227173","0.9599900245666504","0.08172042965888977","0.03200800344347954","0.24456113576889038","0.9565391421318055","0.9528632164001465","0.9599900245666504","0.6915478825569152","0.6506626605987549","0.7395598888397217","0.7981161872545878","0.7680670022964478","0.8140785098075867"
"32","0.9339334726333618","0.9222305417060852","0.9419854879379272","0.9516629219055176","0.9417354464530945","0.9558639526367188","0.07761940583586693","0.026631657034158707","0.16629157960414886","0.9486121416091919","0.9404851198196411","0.958864688873291","0.7311577916145324","0.7074268460273743","0.7415603995323181","0.7819454868634542","0.7426856756210327","0.82883220911026"
"33","0.9320830225944519","0.9251062870025635","0.9349837303161621","0.952488124370575","0.9416103959083557","0.9576144218444824","0.05608902163803577","0.018254563212394714","0.10727681964635849","0.9551637768745422","0.9418604373931885","0.9654913544654846","0.7166041493415832","0.7041760683059692","0.7316828966140747","0.8166624903678894","0.8093273043632507","0.8210802674293518"
