"Step","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (CaliMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX"
"38","0.016918727196753025","0.011879699304699898","0.0212166178971529","0.25702968835830686","0.13286712765693665","0.4363636374473572","0.5887819051742553","0.5819039940834045","0.5960333943367004","0.2461174488067627","0.18163855373859406","0.3384133279323578","0.016673395410180092","0.010556621477007866","0.020757406949996948"
"39","0.018006801977753638","0.013742689974606037","0.023876197636127472","0.2235929474234581","0.10182767361402512","0.42950108647346497","0.5833727955818176","0.5652497410774231","0.5955238938331604","0.25389569997787476","0.21695759892463684","0.34232860803604126","0.026538686826825142","0.016064871102571487","0.04648476839065552"
"40","0.017395437881350517","0.013990090228617191","0.023156968876719475","0.17192561477422713","0.08392857015132904","0.27860695123672485","0.586997103691101","0.5764647126197815","0.5942408442497253","0.237226003408432","0.17812834680080414","0.31653672456741333","0.014547460402051607","0.010852469131350517","0.018199387937784195"
"41","0.01750367321074009","0.013592517003417015","0.022486211732029915","0.19930445551872253","0.15547703206539154","0.23943662643432617","0.5881936550140381","0.5716522336006165","0.5956336259841919","0.25558253824710847","0.2230876237154007","0.2960841655731201","0.0160864545032382","0.012440484948456287","0.0192693080753088"
"42","0.017378348857164383","0.01344636082649231","0.023252412676811218","0.1960695430636406","0.11130741983652115","0.29525861144065857","0.5828304290771484","0.5684537291526794","0.5883817076683044","0.2595907598733902","0.22461578249931335","0.3339422047138214","0.016037240003546078","0.012379642575979233","0.018803419545292854"
"43","0.019072994031012057","0.013578624464571476","0.02555910497903824","0.20561500787734985","0.1325966864824295","0.2866666615009308","0.5798352241516114","0.5491058230400085","0.5950559377670288","0.25586209297180174","0.20008383691310883","0.31608739495277405","0.015853754865626495","0.013777090236544609","0.019899718463420868"
"44","0.01808650866150856","0.014433590695261955","0.02383389323949814","0.17226184904575348","0.07296137511730194","0.32932692766189575","0.5858507752418518","0.5778540968894958","0.5948723554611206","0.2655958741903305","0.20236088335514069","0.3596617877483368","0.015988999046385288","0.014163424260914326","0.017764955759048462"
"45","0.018220989033579826","0.014720594510436058","0.022339800372719765","0.2355473220348358","0.13223139941692352","0.4048192799091339","0.5859101057052613","0.5753560662269592","0.5939139127731323","0.26455057263374326","0.23837964236736298","0.31784558296203613","0.017951675380269688","0.012582674622535706","0.021471915766596794"
"46","0.01822744160890579","0.014807360246777534","0.025102760642766953","0.23030200153589248","0.11673151701688766","0.3499392569065094","0.5892047762870789","0.582213282585144","0.5935090780258179","0.257374694943428","0.22708192467689514","0.29542776942253113","0.0170151861384511","0.009821976535022259","0.023303532972931862"
"47","0.017603940330445766","0.013274336233735085","0.022797470912337303","0.29752316772937776","0.17777778208255768","0.3873121738433838","0.5890056610107421","0.5843543410301208","0.5947034358978271","0.260903412103653","0.22845828533172607","0.33016496896743774","0.014560374741752943","0.011831591837108135","0.016735028475522995"
"48","0.0180425388738513","0.014524014666676521","0.02351190522313118","0.2203154444694519","0.1428571492433548","0.3504273593425751","0.5813110113143921","0.5626851916313171","0.5949380397796631","0.294837486743927","0.27689531445503235","0.3390530049800873","0.017949199303984642","0.016639184206724167","0.019051773473620415"
"49","0.018213229812681676","0.014439906924962997","0.024126334115862846","0.18052891492843628","0.1388888955116272","0.19631901383399963","0.5811279535293579","0.5611778497695923","0.5947209596633911","0.26597127318382263","0.22523002326488495","0.34070080518722534","0.013910029704372088","0.00946670863777399","0.017611365765333176"
"50","0.018059494718909264","0.014680483378469944","0.022936450317502022","0.21557493209838868","0.13577331602573395","0.30051812529563904","0.5799085021018981","0.5687243342399597","0.5936529040336609","0.2754917353391647","0.2210250049829483","0.3278633952140808","0.016321383106211822","0.010835913009941578","0.020962147042155266"
