"Step","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (MTC) - In distribution over conf 0.95: ACC","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MIN","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MAX","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MIN","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MAX","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (CaliMatch) - In distribution over conf 0.95: ACC__MAX"
"31","0.9772360444068908","0.9759068489074707","0.979908287525177","0.965271270275116","0.961725652217865","0.968314528465271","0.7383924543857574","0.49488750100135803","0.8723404407501221","0.9581458806991577","0.9489756226539612","0.9687336087226868","0.982574200630188","0.9729339480400085","0.9868131875991821","0.994489868481954","0.9924742579460144","0.9957675337791443"
"32","0.9785300135612488","0.9764940738677979","0.9800753593444824","0.9642997860908509","0.9599738121032715","0.9680083990097046","0.7352895438671112","0.3766917288303375","0.9201878309249878","0.9566667079925537","0.9501326084136963","0.9645041823387146","0.9790586352348327","0.9721136093139648","0.9848254919052124","0.9939647912979126","0.9925723075866699","0.9959595799446106"
"33","0.9778354048728943","0.9746953845024109","0.9803212285041809","0.9654825806617737","0.9633110761642456","0.9674678444862366","0.712401807308197","0.46686744689941406","0.9382284879684448","0.9578640699386597","0.9460375308990479","0.9647703766822815","0.982385003566742","0.9755250811576843","0.985973060131073","0.9939258495966593","0.9928298592567444","0.9951272010803223"
"34","0.9776838898658753","0.9742420315742493","0.9801129102706909","0.9638872861862182","0.9601158499717712","0.9681922197341919","0.7144397497177124","0.5049628019332886","0.9275700449943542","0.9561791062355042","0.9449901580810547","0.963979184627533","0.9801597833633423","0.9772526621818542","0.9839662313461304","0.994312067826589","0.9935228824615479","0.9949878454208374"
"35","0.9781747937202454","0.9755549430847168","0.9820110201835632","0.9661785960197449","0.9638319611549377","0.9709566235542297","0.75050567984581","0.47184988856315613","0.9263157844543457","0.9545607805252075","0.9433097243309021","0.9623677134513855","0.9787898421287536","0.9718382358551025","0.9867671728134155","0.9932617346445719","0.9903918504714966","0.9957812428474426"
"36","0.9766587853431702","0.9735541343688965","0.9785847067832947","0.965994131565094","0.9630499482154846","0.969308078289032","0.715646767616272","0.4652406573295593","0.9062069058418274","0.9527084350585937","0.9427312612533569","0.9634637832641602","0.9763212323188781","0.9672375917434692","0.9838886857032776","0.9961140155792236","0.9958388209342957","0.9963642358779907"
"37","0.9748961448669433","0.9707096219062805","0.9789445996284485","0.9628517508506775","0.9564371705055237","0.9675009846687317","0.8026887059211731","0.5364865064620972","0.94807368516922","0.9540796518325806","0.9410090446472168","0.9620219469070435","0.9752691745758056","0.9700460433959961","0.9843233227729797","0.9939378698666891","0.9931192398071289","0.9943570494651794"
"38","0.9756629228591919","0.9719526767730713","0.9782167673110962","0.9650200247764588","0.961348295211792","0.9694466590881348","0.7842714190483093","0.7523219585418701","0.804780900478363","0.9546767830848694","0.9435297250747681","0.9624069929122925","0.9820899844169617","0.9783120155334473","0.9842967987060547","0.995072583357493","0.9943907856941223","0.9954308867454529"
"39","0.9751241445541382","0.9716854095458984","0.9777036309242249","0.9628590703010559","0.9562827348709106","0.9678385853767395","0.7340151071548462","0.572519063949585","0.874538779258728","0.9540127992630005","0.9414339065551758","0.9650859236717224","0.9766916155815124","0.973648190498352","0.979476273059845","0.9938598275184631","0.9911907315254211","0.995542585849762"
"40","0.9737278461456299","0.969234824180603","0.9771974086761475","0.9631454706192016","0.9558956623077393","0.9677924513816833","0.7564490795135498","0.5306691527366638","0.9149797558784485","0.9530460715293885","0.9500131011009216","0.9605263471603394","0.9798765659332276","0.9716543555259705","0.9858367443084717","0.994868000348409","0.9944988489151001","0.9955163598060608"
